,date,price,volume
60,2020-10-06 01:00:00+00:00,0.814,54526
61,2020-10-07 01:00:00+00:00,0.824,57148
62,2020-10-08 01:00:00+00:00,0.848,55674
63,2020-10-09 01:00:00+00:00,0.865,60758
64,2020-10-10 01:00:00+00:00,0.859,63035
65,2020-10-11 01:00:00+00:00,0.853,60968
66,2020-10-12 01:00:00+00:00,0.829,56964
67,2020-10-13 01:00:00+00:00,0.829,54892
68,2020-10-14 01:00:00+00:00,0.829,54239
69,2020-10-15 01:00:00+00:00,0.841,53907
70,2020-10-16 01:00:00+00:00,0.853,57271
71,2020-10-17 01:00:00+00:00,0.844,64035
72,2020-10-18 01:00:00+00:00,0.808,60667
73,2020-10-19 01:00:00+00:00,0.765,53129
74,2020-10-20 01:00:00+00:00,0.728,52251
75,2020-10-21 01:00:00+00:00,0.738,57519
76,2020-10-22 01:00:00+00:00,0.752,56468
77,2020-10-23 01:00:00+00:00,0.764,61892
78,2020-10-24 01:00:00+00:00,0.761,65099
79,2020-10-25 01:00:00+00:00,0.695,61883
80,2020-10-26 01:00:00+00:00,0.651,60004
81,2020-10-27 01:00:00+00:00,0.638,58467
82,2020-10-28 01:00:00+00:00,0.632,59984
83,2020-10-29 01:00:00+00:00,0.636,61622
84,2020-10-30 01:00:00+00:00,0.65,69660
85,2020-10-31 01:00:00+00:00,0.657,66266
86,2020-11-01 01:00:00+00:00,0.652,67356
87,2020-11-02 01:00:00+00:00,0.658,47799
88,2020-11-03 01:00:00+00:00,0.648,62412
89,2020-11-04 01:00:00+00:00,0.652,62151
90,2020-11-05 01:00:00+00:00,0.657,59766
91,2020-11-06 01:00:00+00:00,0.682,65951
92,2020-11-07 01:00:00+00:00,0.724,70370
93,2020-11-08 01:00:00+00:00,0.7,65783
94,2020-11-09 01:00:00+00:00,0.66,57902
95,2020-11-10 01:00:00+00:00,0.654,60047
96,2020-11-11 01:00:00+00:00,0.657,57391
97,2020-11-12 01:00:00+00:00,0.654,57339
98,2020-11-13 01:00:00+00:00,0.654,64769
99,2020-11-14 01:00:00+00:00,0.656,67484
100,2020-11-15 01:00:00+00:00,0.639,62885
101,2020-11-16 01:00:00+00:00,0.598,61097
102,2020-11-17 01:00:00+00:00,0.59,63159
103,2020-11-18 01:00:00+00:00,0.573,60255
104,2020-11-19 01:00:00+00:00,0.52,61483
105,2020-11-20 01:00:00+00:00,0.538,69307
106,2020-11-21 01:00:00+00:00,0.557,72118
107,2020-11-22 01:00:00+00:00,0.55,69088
108,2020-11-23 01:00:00+00:00,0.524,62138
109,2020-11-24 01:00:00+00:00,0.49,58997
110,2020-11-25 01:00:00+00:00,0.477,63869
111,2020-11-26 01:00:00+00:00,0.473,69998
112,2020-11-27 01:00:00+00:00,0.495,77220
113,2020-11-28 01:00:00+00:00,0.513,79106
114,2020-11-29 01:00:00+00:00,0.497,70534
115,2020-11-30 01:00:00+00:00,0.485,68594
116,2020-12-01 01:00:00+00:00,0.472,62251
117,2020-12-02 01:00:00+00:00,0.489,63089
118,2020-12-03 01:00:00+00:00,0.473,65570
119,2020-12-04 01:00:00+00:00,0.232,71543
120,2020-12-05 01:00:00+00:00,0.243,65130
121,2020-12-06 01:00:00+00:00,0.228,64713
122,2020-12-07 01:00:00+00:00,0.223,62203
123,2020-12-08 01:00:00+00:00,0.215,59916
124,2020-12-09 01:00:00+00:00,0.209,58163
125,2020-12-10 01:00:00+00:00,0.217,61918
126,2020-12-11 01:00:00+00:00,0.223,64818
127,2020-12-12 01:00:00+00:00,0.217,67022
128,2020-12-13 01:00:00+00:00,0.204,62035
129,2020-12-14 01:00:00+00:00,0.195,58797
130,2020-12-15 01:00:00+00:00,0.2,62812
131,2020-12-16 01:00:00+00:00,0.199,63138
132,2020-12-17 01:00:00+00:00,0.206,66133
133,2020-12-18 01:00:00+00:00,0.215,68257
134,2020-12-19 01:00:00+00:00,0.221,73846
135,2020-12-20 01:00:00+00:00,0.227,72220
136,2020-12-21 01:00:00+00:00,0.224,70651
137,2020-12-22 01:00:00+00:00,0.225,78120
138,2020-12-23 01:00:00+00:00,0.245,79065
139,2020-12-24 01:00:00+00:00,0.272,79599
140,2020-12-25 01:00:00+00:00,0.331,77211
141,2020-12-26 01:00:00+00:00,0.338,76202
142,2020-12-27 01:00:00+00:00,0.314,62656
143,2020-12-28 01:00:00+00:00,0.304,72270
144,2020-12-29 01:00:00+00:00,0.303,73618
145,2020-12-30 01:00:00+00:00,0.314,79924
146,2020-12-31 01:00:00+00:00,0.357,82752
147,2021-01-01 01:00:00+00:00,0.428,77317
148,2021-01-02 01:00:00+00:00,0.404,75074
149,2021-01-03 01:00:00+00:00,0.393,74905
150,2021-01-04 01:00:00+00:00,0.349,72263
151,2021-01-05 01:00:00+00:00,0.325,70179
152,2021-01-06 01:00:00+00:00,0.317,71643
153,2021-01-07 01:00:00+00:00,0.322,72120
154,2021-01-08 01:00:00+00:00,0.344,75469
155,2021-01-09 01:00:00+00:00,0.38,77991
156,2021-01-10 01:00:00+00:00,0.397,74301
157,2021-01-11 01:00:00+00:00,0.395,71361
158,2021-01-12 01:00:00+00:00,0.392,74947
159,2021-01-13 01:00:00+00:00,0.412,74198
160,2021-01-14 01:00:00+00:00,0.413,75222
161,2021-01-15 01:00:00+00:00,0.418,78848
162,2021-01-16 01:00:00+00:00,0.442,84736
163,2021-01-17 01:00:00+00:00,0.44,77065
164,2021-01-18 01:00:00+00:00,0.442,68156
165,2021-01-19 01:00:00+00:00,0.438,68817
166,2021-01-20 01:00:00+00:00,0.432,73301
167,2021-01-21 01:00:00+00:00,0.435,67675
168,2021-01-22 01:00:00+00:00,0.439,76070
169,2021-01-23 01:00:00+00:00,0.44,74445
170,2021-01-24 01:00:00+00:00,0.433,74803
171,2021-01-25 01:00:00+00:00,0.426,69755
172,2021-01-26 01:00:00+00:00,0.411,67058
173,2021-01-27 01:00:00+00:00,0.398,71469
174,2021-01-28 01:00:00+00:00,0.34,98876
175,2021-01-29 01:00:00+00:00,0.376,91095
176,2021-01-30 01:00:00+00:00,0.394,87010
177,2021-01-31 01:00:00+00:00,0.384,83060
178,2021-02-01 01:00:00+00:00,0.378,73577
179,2021-02-02 01:00:00+00:00,0.376,73348
180,2021-02-03 01:00:00+00:00,0.365,76745
181,2021-02-04 01:00:00+00:00,0.368,72225
182,2021-02-05 01:00:00+00:00,0.375,77944
183,2021-02-06 01:00:00+00:00,0.382,82720
184,2021-02-07 01:00:00+00:00,0.38,75133
185,2021-02-08 01:00:00+00:00,0.372,73489
186,2021-02-09 01:00:00+00:00,0.372,82169
187,2021-02-10 01:00:00+00:00,0.368,83212
188,2021-02-11 01:00:00+00:00,0.386,94184
189,2021-02-12 01:00:00+00:00,0.392,91378
190,2021-02-13 01:00:00+00:00,0.394,96616
191,2021-02-14 01:00:00+00:00,0.385,83638
192,2021-02-15 01:00:00+00:00,0.377,79325
193,2021-02-16 01:00:00+00:00,0.386,76828
194,2021-02-17 01:00:00+00:00,0.385,77210
195,2021-02-18 01:00:00+00:00,0.381,75900
196,2021-02-19 01:00:00+00:00,0.389,82233
197,2021-02-20 01:00:00+00:00,0.401,90670
198,2021-02-21 01:00:00+00:00,0.411,85709
199,2021-02-22 01:00:00+00:00,0.416,84606
200,2021-02-23 01:00:00+00:00,0.435,108633
201,2021-02-24 01:00:00+00:00,0.472,106129
202,2021-02-25 01:00:00+00:00,0.51,99338
203,2021-02-26 01:00:00+00:00,0.546,100839
204,2021-02-27 01:00:00+00:00,0.588,99403
205,2021-02-28 01:00:00+00:00,0.59,90126
206,2021-03-01 01:00:00+00:00,0.556,79198
207,2021-03-02 01:00:00+00:00,0.536,75526
208,2021-03-03 01:00:00+00:00,0.519,81823
209,2021-03-04 01:00:00+00:00,0.516,78620
210,2021-03-05 01:00:00+00:00,0.525,91892
211,2021-03-06 01:00:00+00:00,0.547,96440
212,2021-03-07 01:00:00+00:00,0.559,91354
213,2021-03-08 01:00:00+00:00,0.541,79263
214,2021-03-09 01:00:00+00:00,0.537,77595
215,2021-03-10 01:00:00+00:00,0.531,80973
216,2021-03-11 01:00:00+00:00,0.529,82956
217,2021-03-12 01:00:00+00:00,0.532,89151
