,date,price,volume
60,2016-10-18 01:00:00+00:00,0.246,38506
61,2016-10-19 01:00:00+00:00,0.253,40371
62,2016-10-20 01:00:00+00:00,0.255,38501
63,2016-10-21 01:00:00+00:00,0.254,44081
64,2016-10-22 01:00:00+00:00,0.23,48081
65,2016-10-23 01:00:00+00:00,0.211,47639
66,2016-10-24 01:00:00+00:00,0.204,38757
67,2016-10-25 01:00:00+00:00,0.202,38660
68,2016-10-26 01:00:00+00:00,0.203,37492
69,2016-10-27 01:00:00+00:00,0.199,38592
70,2016-10-28 01:00:00+00:00,0.191,46480
71,2016-10-29 01:00:00+00:00,0.176,50276
72,2016-10-30 01:00:00+00:00,0.157,49313
73,2016-10-31 01:00:00+00:00,0.151,41800
74,2016-11-01 01:00:00+00:00,0.158,40743
75,2016-11-02 01:00:00+00:00,0.176,41832
76,2016-11-03 01:00:00+00:00,0.181,34339
77,2016-11-04 01:00:00+00:00,0.198,46701
78,2016-11-05 01:00:00+00:00,0.174,52027
79,2016-11-06 01:00:00+00:00,0.169,48210
80,2016-11-07 01:00:00+00:00,0.16,37781
81,2016-11-08 01:00:00+00:00,0.153,36395
82,2016-11-09 01:00:00+00:00,0.152,34425
83,2016-11-10 01:00:00+00:00,0.145,35290
84,2016-11-11 01:00:00+00:00,0.151,45586
85,2016-11-12 01:00:00+00:00,0.148,48626
86,2016-11-13 01:00:00+00:00,0.138,45720
87,2016-11-14 01:00:00+00:00,0.129,36882
88,2016-11-15 01:00:00+00:00,0.134,36567
89,2016-11-16 01:00:00+00:00,0.133,34668
90,2016-11-17 01:00:00+00:00,0.13,34715
91,2016-11-18 01:00:00+00:00,0.131,39572
92,2016-11-19 01:00:00+00:00,0.132,46024
93,2016-11-20 01:00:00+00:00,0.121,42941
94,2016-11-21 01:00:00+00:00,0.118,36404
95,2016-11-22 01:00:00+00:00,0.114,33576
96,2016-11-23 01:00:00+00:00,0.108,34176
97,2016-11-24 01:00:00+00:00,0.105,39259
98,2016-11-25 01:00:00+00:00,0.105,47753
99,2016-11-26 01:00:00+00:00,0.102,49458
100,2016-11-27 01:00:00+00:00,0.092,43686
101,2016-11-28 01:00:00+00:00,0.089,37172
102,2016-11-29 01:00:00+00:00,0.086,44600
103,2016-11-30 01:00:00+00:00,0.087,43407
104,2016-12-01 01:00:00+00:00,0.092,42337
105,2016-12-02 01:00:00+00:00,0.085,42708
106,2016-12-03 01:00:00+00:00,0.08,47548
107,2016-12-04 01:00:00+00:00,0.072,49833
108,2016-12-05 01:00:00+00:00,0.069,39688
109,2016-12-06 01:00:00+00:00,0.069,37660
110,2016-12-07 01:00:00+00:00,0.064,37660
111,2016-12-08 01:00:00+00:00,0.06,41908
112,2016-12-09 01:00:00+00:00,0.066,36426
113,2016-12-10 01:00:00+00:00,0.067,42650
114,2016-12-11 01:00:00+00:00,0.058,41342
115,2016-12-12 01:00:00+00:00,0.052,34676
116,2016-12-13 01:00:00+00:00,0.049,31957
117,2016-12-14 01:00:00+00:00,0.046,34139
118,2016-12-15 01:00:00+00:00,0.045,33566
119,2016-12-16 01:00:00+00:00,0.043,35860
120,2016-12-17 01:00:00+00:00,0.041,44009
121,2016-12-18 01:00:00+00:00,0.036,39976
122,2016-12-19 01:00:00+00:00,0.032,27535
123,2016-12-20 01:00:00+00:00,0.035,28388
124,2016-12-21 01:00:00+00:00,0.037,29336
125,2016-12-22 01:00:00+00:00,0.036,31395
126,2016-12-23 01:00:00+00:00,0.034,28042
127,2016-12-24 01:00:00+00:00,0.036,44582
128,2016-12-25 01:00:00+00:00,0.042,56570
129,2016-12-26 01:00:00+00:00,0.046,58658
130,2016-12-27 01:00:00+00:00,0.046,49605
131,2016-12-28 01:00:00+00:00,0.044,50307
132,2016-12-29 01:00:00+00:00,0.037,57639
133,2016-12-30 01:00:00+00:00,0.038,57391
134,2016-12-31 01:00:00+00:00,0.043,49943
135,2017-01-01 01:00:00+00:00,0.044,52860
136,2017-01-02 01:00:00+00:00,0.043,51008
137,2017-01-03 01:00:00+00:00,0.044,45721
138,2017-01-04 01:00:00+00:00,0.044,46235
139,2017-01-05 01:00:00+00:00,0.044,42151
140,2017-01-06 01:00:00+00:00,0.045,49645
141,2017-01-07 01:00:00+00:00,0.044,47977
142,2017-01-08 01:00:00+00:00,0.042,50764
143,2017-01-09 01:00:00+00:00,0.041,44685
144,2017-01-10 01:00:00+00:00,0.039,46090
145,2017-01-11 01:00:00+00:00,0.038,47347
146,2017-01-12 01:00:00+00:00,0.038,41886
147,2017-01-13 01:00:00+00:00,0.042,56070
148,2017-01-14 01:00:00+00:00,0.037,66273
149,2017-01-15 01:00:00+00:00,0.041,55119
150,2017-01-16 01:00:00+00:00,0.039,39560
151,2017-01-17 01:00:00+00:00,0.032,36945
152,2017-01-18 01:00:00+00:00,0.031,37487
153,2017-01-19 01:00:00+00:00,0.031,36025
154,2017-01-20 01:00:00+00:00,0.031,43750
155,2017-01-21 01:00:00+00:00,0.03,55520
156,2017-01-22 01:00:00+00:00,0.031,44396
157,2017-01-23 01:00:00+00:00,0.03,36222
158,2017-01-24 01:00:00+00:00,0.03,35855
159,2017-01-25 01:00:00+00:00,0.03,43733
160,2017-01-26 01:00:00+00:00,0.03,42133
161,2017-01-27 01:00:00+00:00,0.03,48417
162,2017-01-28 01:00:00+00:00,0.03,51593
163,2017-01-29 01:00:00+00:00,0.03,48629
164,2017-01-30 01:00:00+00:00,0.03,44527
165,2017-01-31 01:00:00+00:00,0.03,45886
166,2017-02-01 01:00:00+00:00,0.03,46168
167,2017-02-02 01:00:00+00:00,0.03,42595
168,2017-02-03 01:00:00+00:00,0.033,42875
169,2017-02-04 01:00:00+00:00,0.035,52294
170,2017-02-05 01:00:00+00:00,0.03,62107
171,2017-02-06 01:00:00+00:00,0.03,54757
172,2017-02-07 01:00:00+00:00,0.03,55571
173,2017-02-08 01:00:00+00:00,0.034,46480
174,2017-02-09 01:00:00+00:00,0.038,41585
175,2017-02-10 01:00:00+00:00,0.031,46247
176,2017-02-11 01:00:00+00:00,0.032,69717
177,2017-02-12 01:00:00+00:00,0.033,57097
178,2017-02-13 01:00:00+00:00,0.033,46679
179,2017-02-14 01:00:00+00:00,0.034,44781
180,2017-02-15 01:00:00+00:00,0.033,42175
181,2017-02-16 01:00:00+00:00,0.035,42385
182,2017-02-17 01:00:00+00:00,0.035,49691
183,2017-02-18 01:00:00+00:00,0.035,55889
184,2017-02-19 01:00:00+00:00,0.033,54185
185,2017-02-20 01:00:00+00:00,0.035,45588
186,2017-02-21 01:00:00+00:00,0.033,44581
187,2017-02-22 01:00:00+00:00,0.035,40099
188,2017-02-23 01:00:00+00:00,0.035,47734
189,2017-02-24 01:00:00+00:00,0.04,51801
190,2017-02-25 01:00:00+00:00,0.04,55245
191,2017-02-26 01:00:00+00:00,0.036,51644
192,2017-02-27 01:00:00+00:00,0.039,46550
193,2017-02-28 01:00:00+00:00,0.045,46356
194,2017-03-01 01:00:00+00:00,0.039,48899
195,2017-03-02 01:00:00+00:00,0.041,45769
196,2017-03-03 01:00:00+00:00,0.039,47894
197,2017-03-04 01:00:00+00:00,0.04,53799
198,2017-03-05 01:00:00+00:00,0.037,50739
199,2017-03-06 01:00:00+00:00,0.037,49531
200,2017-03-07 01:00:00+00:00,0.036,46037
201,2017-03-08 01:00:00+00:00,0.038,42963
202,2017-03-09 01:00:00+00:00,0.038,43641
203,2017-03-10 01:00:00+00:00,0.038,48745
204,2017-03-11 01:00:00+00:00,0.041,51572
205,2017-03-12 01:00:00+00:00,0.041,49928
206,2017-03-13 01:00:00+00:00,0.039,41032
207,2017-03-14 01:00:00+00:00,0.04,38344
208,2017-03-15 01:00:00+00:00,0.042,37373
209,2017-03-16 01:00:00+00:00,0.037,43728
210,2017-03-17 01:00:00+00:00,0.035,47455
211,2017-03-18 01:00:00+00:00,0.033,60434
212,2017-03-19 01:00:00+00:00,0.03,46432
213,2017-03-20 01:00:00+00:00,0.03,43313
214,2017-03-21 01:00:00+00:00,0.03,44212
215,2017-03-22 01:00:00+00:00,0.03,42829
216,2017-03-23 01:00:00+00:00,0.03,41717
217,2017-03-24 01:00:00+00:00,0.03,49110
218,2017-03-25 01:00:00+00:00,0.03,49092
219,2017-03-26 01:00:00+00:00,0.03,45606
220,2017-03-27 01:00:00+00:00,0.03,40467
221,2017-03-28 01:00:00+00:00,0.03,37767
222,2017-03-29 01:00:00+00:00,0.03,30829
223,2017-03-30 01:00:00+00:00,0.03,34091
224,2017-03-31 01:00:00+00:00,0.03,41155
225,2017-04-01 01:00:00+00:00,0.03,41768
226,2017-04-02 01:00:00+00:00,0.03,38147
227,2017-04-03 01:00:00+00:00,0.03,36045
228,2017-04-04 01:00:00+00:00,0.03,32105
229,2017-04-05 01:00:00+00:00,0.03,30210
230,2017-04-06 01:00:00+00:00,0.03,28935
231,2017-04-07 01:00:00+00:00,0.03,29776
232,2017-04-08 01:00:00+00:00,0.03,32696
233,2017-04-09 01:00:00+00:00,0.03,32977
234,2017-04-10 01:00:00+00:00,0.03,29996
235,2017-04-11 01:00:00+00:00,0.03,30219
236,2017-04-12 01:00:00+00:00,0.03,30590
237,2017-04-13 01:00:00+00:00,0.03,34818
238,2017-04-14 01:00:00+00:00,0.03,32798
239,2017-04-15 01:00:00+00:00,0.03,31035
240,2017-04-16 01:00:00+00:00,0.03,32034
241,2017-04-17 01:00:00+00:00,0.03,30913
242,2017-04-18 01:00:00+00:00,0.03,28607
243,2017-04-19 01:00:00+00:00,0.03,26613
244,2017-04-20 01:00:00+00:00,0.03,26451
245,2017-04-21 01:00:00+00:00,0.03,29105
246,2017-04-22 01:00:00+00:00,0.03,32188
247,2017-04-23 01:00:00+00:00,0.03,34599
248,2017-04-24 01:00:00+00:00,0.03,38296
249,2017-04-25 01:00:00+00:00,0.03,32941
250,2017-04-26 01:00:00+00:00,0.03,28930
251,2017-04-27 01:00:00+00:00,0.03,27411
252,2017-04-28 01:00:00+00:00,0.03,31027
253,2017-04-29 01:00:00+00:00,0.03,30945
254,2017-04-30 01:00:00+00:00,0.03,31886
255,2017-05-01 01:00:00+00:00,0.03,31723
256,2017-05-02 01:00:00+00:00,0.03,28894
257,2017-05-03 01:00:00+00:00,0.03,28642
258,2017-05-04 01:00:00+00:00,0.03,27636
259,2017-05-05 01:00:00+00:00,0.03,33528
260,2017-05-06 01:00:00+00:00,0.03,38315
261,2017-05-07 01:00:00+00:00,0.03,31593
262,2017-05-08 01:00:00+00:00,0.03,30539
263,2017-05-09 01:00:00+00:00,0.03,27243
264,2017-05-10 01:00:00+00:00,0.03,25693
265,2017-05-11 01:00:00+00:00,0.03,31929
266,2017-05-12 01:00:00+00:00,0.03,28906
267,2017-05-13 01:00:00+00:00,0.03,35414
268,2017-05-14 01:00:00+00:00,0.03,31983
269,2017-05-15 01:00:00+00:00,0.03,27634
270,2017-05-16 01:00:00+00:00,0.03,32295
271,2017-05-17 01:00:00+00:00,0.03,27905
272,2017-05-18 01:00:00+00:00,0.03,28372
273,2017-05-19 01:00:00+00:00,0.03,29795
274,2017-05-20 01:00:00+00:00,0.03,30850
275,2017-05-21 01:00:00+00:00,0.03,26701
276,2017-05-22 01:00:00+00:00,0.03,43911
277,2017-05-23 01:00:00+00:00,0.03,24627
278,2017-05-24 01:00:00+00:00,0.03,34294
279,2017-05-25 01:00:00+00:00,0.03,29525
280,2017-05-26 01:00:00+00:00,0.03,26899
281,2017-05-27 01:00:00+00:00,0.03,31609
282,2017-05-28 01:00:00+00:00,0.03,30854
283,2017-05-29 01:00:00+00:00,0.03,30405
284,2017-05-30 01:00:00+00:00,0.03,28744
285,2017-05-31 01:00:00+00:00,0.03,31020
286,2017-06-01 01:00:00+00:00,0.03,28379
287,2017-06-02 01:00:00+00:00,0.03,38153
288,2017-06-03 01:00:00+00:00,0.03,38219
289,2017-06-04 01:00:00+00:00,0.03,37456
290,2017-06-05 01:00:00+00:00,0.03,33302
291,2017-06-06 01:00:00+00:00,0.03,31624
292,2017-06-07 01:00:00+00:00,0.03,29711
293,2017-06-08 01:00:00+00:00,0.03,25649
294,2017-06-09 01:00:00+00:00,0.03,31859
295,2017-06-10 01:00:00+00:00,0.03,53423
296,2017-06-11 01:00:00+00:00,0.03,28530
297,2017-06-12 01:00:00+00:00,0.03,29260
298,2017-06-13 01:00:00+00:00,0.03,32138
299,2017-06-14 01:00:00+00:00,0.03,26074
300,2017-06-15 01:00:00+00:00,0.03,30236
301,2017-06-16 01:00:00+00:00,0.03,30337
302,2017-06-17 01:00:00+00:00,0.03,28179
303,2017-06-18 01:00:00+00:00,0.03,31027
304,2017-06-19 01:00:00+00:00,0.03,24864
305,2017-06-20 01:00:00+00:00,0.03,25278
306,2017-06-21 01:00:00+00:00,0.03,33215
307,2017-06-22 01:00:00+00:00,0.03,30557
308,2017-06-23 01:00:00+00:00,0.03,34021
309,2017-06-24 01:00:00+00:00,0.03,32201
310,2017-06-25 01:00:00+00:00,0.03,31354
311,2017-06-26 01:00:00+00:00,0.03,31877
312,2017-06-27 01:00:00+00:00,0.03,31375
313,2017-06-28 01:00:00+00:00,0.03,40931
314,2017-06-29 01:00:00+00:00,0.03,30207
315,2017-06-30 01:00:00+00:00,0.03,33319
316,2017-07-01 01:00:00+00:00,0.03,33064
317,2017-07-02 01:00:00+00:00,0.03,28938
318,2017-07-03 01:00:00+00:00,0.03,28227
319,2017-07-04 01:00:00+00:00,0.03,25904
320,2017-07-05 01:00:00+00:00,0.03,26902
321,2017-07-06 01:00:00+00:00,0.03,29870
322,2017-07-07 01:00:00+00:00,0.03,25034
323,2017-07-08 01:00:00+00:00,0.03,26997
324,2017-07-09 01:00:00+00:00,0.03,29175
325,2017-07-10 01:00:00+00:00,0.03,37396
326,2017-07-11 01:00:00+00:00,0.03,35862
327,2017-07-12 01:00:00+00:00,0.03,38330
328,2017-07-13 01:00:00+00:00,0.03,35967
329,2017-07-14 01:00:00+00:00,0.03,31660
330,2017-07-15 01:00:00+00:00,0.03,27128
331,2017-07-16 01:00:00+00:00,0.03,26289
332,2017-07-17 01:00:00+00:00,0.03,24564
333,2017-07-18 01:00:00+00:00,0.03,30843
334,2017-07-19 01:00:00+00:00,0.03,30053
335,2017-07-20 01:00:00+00:00,0.03,29056
336,2017-07-21 01:00:00+00:00,0.03,25521
337,2017-07-22 01:00:00+00:00,0.03,30006
338,2017-07-23 01:00:00+00:00,0.03,32186
339,2017-07-24 01:00:00+00:00,0.03,37060
340,2017-07-25 01:00:00+00:00,0.03,29202
341,2017-07-26 01:00:00+00:00,0.03,32178
342,2017-07-27 01:00:00+00:00,0.03,36648
343,2017-07-28 01:00:00+00:00,0.03,37906
344,2017-07-29 01:00:00+00:00,0.03,37216
345,2017-07-30 01:00:00+00:00,0.03,32922
346,2017-07-31 01:00:00+00:00,0.03,38474
347,2017-08-01 01:00:00+00:00,0.03,37658
348,2017-08-02 01:00:00+00:00,0.03,37213
349,2017-08-03 01:00:00+00:00,0.03,36954
350,2017-08-04 01:00:00+00:00,0.03,44081
351,2017-08-05 01:00:00+00:00,0.03,50475
352,2017-08-06 01:00:00+00:00,0.03,40637
353,2017-08-07 01:00:00+00:00,0.03,37092
354,2017-08-08 01:00:00+00:00,0.03,35503
355,2017-08-09 01:00:00+00:00,0.03,38008
356,2017-08-10 01:00:00+00:00,0.03,38650
357,2017-08-11 01:00:00+00:00,0.03,38511
358,2017-08-12 01:00:00+00:00,0.03,44805
359,2017-08-13 01:00:00+00:00,0.03,41893
360,2017-08-14 01:00:00+00:00,0.03,47352
361,2017-08-15 01:00:00+00:00,0.03,43351
362,2017-08-16 01:00:00+00:00,0.03,45965
363,2017-08-17 01:00:00+00:00,0.03,50227
364,2017-08-18 01:00:00+00:00,0.03,40499
365,2017-08-19 01:00:00+00:00,0.03,31762
366,2017-08-20 01:00:00+00:00,0.03,27507
367,2017-08-21 01:00:00+00:00,0.03,39345
368,2017-08-22 01:00:00+00:00,0.03,37954
369,2017-08-23 01:00:00+00:00,0.03,33633
370,2017-08-24 01:00:00+00:00,0.03,43073
371,2017-08-25 01:00:00+00:00,0.03,33159
372,2017-08-26 01:00:00+00:00,0.03,33749
373,2017-08-27 01:00:00+00:00,0.03,36495
374,2017-08-28 01:00:00+00:00,0.03,36380
375,2017-08-29 01:00:00+00:00,0.03,33422
376,2017-08-30 01:00:00+00:00,0.03,40747
377,2017-08-31 01:00:00+00:00,0.03,35091
378,2017-09-01 01:00:00+00:00,0.03,38756
379,2017-09-02 01:00:00+00:00,0.03,42982
380,2017-09-03 01:00:00+00:00,0.03,49577
381,2017-09-04 01:00:00+00:00,0.03,37880
382,2017-09-05 01:00:00+00:00,0.03,32626
383,2017-09-06 01:00:00+00:00,0.03,29594
384,2017-09-07 01:00:00+00:00,0.03,36063
385,2017-09-08 01:00:00+00:00,0.03,34066
386,2017-09-09 01:00:00+00:00,0.03,38707
387,2017-09-10 01:00:00+00:00,0.03,42216
388,2017-09-11 01:00:00+00:00,0.03,34483
389,2017-09-12 01:00:00+00:00,0.03,46172
390,2017-09-13 01:00:00+00:00,0.03,42469
391,2017-09-14 01:00:00+00:00,0.03,48164
392,2017-09-15 01:00:00+00:00,0.03,41890
393,2017-09-16 01:00:00+00:00,0.03,48101
394,2017-09-17 01:00:00+00:00,0.03,47517
395,2017-09-18 01:00:00+00:00,0.03,48059
396,2017-09-19 01:00:00+00:00,0.03,47470
397,2017-09-20 01:00:00+00:00,0.03,45931
398,2017-09-21 01:00:00+00:00,0.03,48997
399,2017-09-22 01:00:00+00:00,0.03,53307
400,2017-09-23 01:00:00+00:00,0.03,49398
401,2017-09-24 01:00:00+00:00,0.03,51378
402,2017-09-25 01:00:00+00:00,0.03,45146
403,2017-09-26 01:00:00+00:00,0.03,29400
404,2017-09-27 01:00:00+00:00,0.03,77058
405,2017-09-28 01:00:00+00:00,0.03,49648
406,2017-09-29 01:00:00+00:00,0.03,48548
407,2017-09-30 01:00:00+00:00,0.03,53131
408,2017-10-01 01:00:00+00:00,0.03,50055
409,2017-10-02 01:00:00+00:00,0.03,41561
410,2017-10-03 01:00:00+00:00,0.03,38577
411,2017-10-04 01:00:00+00:00,0.03,47399
412,2017-10-05 01:00:00+00:00,0.03,41065
413,2017-10-06 01:00:00+00:00,0.03,39754
414,2017-10-07 01:00:00+00:00,0.03,44688
415,2017-10-08 01:00:00+00:00,0.03,45419
416,2017-10-09 01:00:00+00:00,0.03,54437
417,2017-10-10 01:00:00+00:00,0.03,48816
418,2017-10-11 01:00:00+00:00,0.03,44180
419,2017-10-12 01:00:00+00:00,0.03,50072
420,2017-10-13 01:00:00+00:00,0.03,33281
421,2017-10-14 01:00:00+00:00,0.03,34993
422,2017-10-15 01:00:00+00:00,0.03,63774
423,2017-10-16 01:00:00+00:00,0.03,42357
424,2017-10-17 01:00:00+00:00,0.03,50557
425,2017-10-18 01:00:00+00:00,0.03,57197
426,2017-10-19 01:00:00+00:00,0.03,48150
427,2017-10-20 01:00:00+00:00,0.03,33241
428,2017-10-21 01:00:00+00:00,0.03,52016
429,2017-10-22 01:00:00+00:00,0.03,53946
430,2017-10-23 01:00:00+00:00,0.03,56380
431,2017-10-24 01:00:00+00:00,0.03,50050
432,2017-10-25 01:00:00+00:00,0.03,45682
433,2017-10-26 01:00:00+00:00,0.03,38678
434,2017-10-27 01:00:00+00:00,0.03,33585
435,2017-10-28 01:00:00+00:00,0.03,34506
436,2017-10-29 01:00:00+00:00,0.03,37060
437,2017-10-30 01:00:00+00:00,0.03,40459
438,2017-10-31 01:00:00+00:00,0.03,33158
439,2017-11-01 01:00:00+00:00,0.03,35439
440,2017-11-02 01:00:00+00:00,0.03,31386
441,2017-11-03 01:00:00+00:00,0.03,34538
442,2017-11-04 01:00:00+00:00,0.03,38573
443,2017-11-05 01:00:00+00:00,0.03,37322
444,2017-11-06 01:00:00+00:00,0.03,48817
445,2017-11-07 01:00:00+00:00,0.03,30199
446,2017-11-08 01:00:00+00:00,0.03,29489
447,2017-11-09 01:00:00+00:00,0.03,40515
448,2017-11-10 01:00:00+00:00,0.03,32655
