,date,price,volume
60,2016-08-15 01:00:00+00:00,0.712,49814
61,2016-08-16 01:00:00+00:00,0.671,51024
62,2016-08-17 01:00:00+00:00,0.654,49674
63,2016-08-18 01:00:00+00:00,0.649,50902
64,2016-08-19 01:00:00+00:00,0.55,67274
65,2016-08-20 01:00:00+00:00,0.488,57648
66,2016-08-21 01:00:00+00:00,0.424,55045
67,2016-08-22 01:00:00+00:00,0.385,57046
68,2016-08-23 01:00:00+00:00,0.368,52440
69,2016-08-24 01:00:00+00:00,0.35,50957
70,2016-08-25 01:00:00+00:00,0.366,57447
71,2016-08-26 01:00:00+00:00,0.41,55447
72,2016-08-27 01:00:00+00:00,0.415,51387
73,2016-08-28 01:00:00+00:00,0.351,51757
74,2016-08-29 01:00:00+00:00,0.324,48390
75,2016-08-30 01:00:00+00:00,0.265,44648
76,2016-08-31 01:00:00+00:00,0.233,49259
77,2016-09-01 01:00:00+00:00,0.269,47971
78,2016-09-02 01:00:00+00:00,0.31,46471
79,2016-09-03 01:00:00+00:00,0.293,48516
80,2016-09-04 01:00:00+00:00,0.222,45160
81,2016-09-05 01:00:00+00:00,0.24,47431
82,2016-09-06 01:00:00+00:00,0.247,40166
83,2016-09-07 01:00:00+00:00,0.241,39989
84,2016-09-08 01:00:00+00:00,0.225,43154
85,2016-09-09 01:00:00+00:00,0.245,52915
86,2016-09-10 01:00:00+00:00,0.219,54372
87,2016-09-11 01:00:00+00:00,0.176,47622
88,2016-09-12 01:00:00+00:00,0.172,44331
89,2016-09-13 01:00:00+00:00,0.176,38469
90,2016-09-14 01:00:00+00:00,0.179,36260
91,2016-09-15 01:00:00+00:00,0.186,46025
92,2016-09-16 01:00:00+00:00,0.19,48828
93,2016-09-17 01:00:00+00:00,0.153,50010
94,2016-09-18 01:00:00+00:00,0.122,44609
95,2016-09-19 01:00:00+00:00,0.116,35206
96,2016-09-20 01:00:00+00:00,0.119,36056
97,2016-09-21 01:00:00+00:00,0.131,38378
98,2016-09-22 01:00:00+00:00,0.133,36104
99,2016-09-23 01:00:00+00:00,0.138,45264
100,2016-09-24 01:00:00+00:00,0.12,44526
101,2016-09-25 01:00:00+00:00,0.099,42363
102,2016-09-26 01:00:00+00:00,0.105,36288
103,2016-09-27 01:00:00+00:00,0.104,33043
104,2016-09-28 01:00:00+00:00,0.101,34585
105,2016-09-29 01:00:00+00:00,0.098,34627
106,2016-09-30 01:00:00+00:00,0.099,40607
107,2016-10-01 01:00:00+00:00,0.087,42729
108,2016-10-02 01:00:00+00:00,0.085,43909
109,2016-10-03 01:00:00+00:00,0.09,35735
110,2016-10-04 01:00:00+00:00,0.093,35712
111,2016-10-05 01:00:00+00:00,0.092,35266
112,2016-10-06 01:00:00+00:00,0.089,34002
113,2016-10-07 01:00:00+00:00,0.083,44006
114,2016-10-08 01:00:00+00:00,0.067,41783
115,2016-10-09 01:00:00+00:00,0.053,37723
116,2016-10-10 01:00:00+00:00,0.051,33835
117,2016-10-11 01:00:00+00:00,0.053,31572
118,2016-10-12 01:00:00+00:00,0.056,33101
119,2016-10-13 01:00:00+00:00,0.055,31443
120,2016-10-14 01:00:00+00:00,0.053,41121
121,2016-10-15 01:00:00+00:00,0.048,42502
122,2016-10-16 01:00:00+00:00,0.039,38618
123,2016-10-17 01:00:00+00:00,0.045,31563
124,2016-10-18 01:00:00+00:00,0.047,32452
125,2016-10-19 01:00:00+00:00,0.046,36564
126,2016-10-20 01:00:00+00:00,0.043,35290
127,2016-10-21 01:00:00+00:00,0.042,43502
128,2016-10-22 01:00:00+00:00,0.041,38081
129,2016-10-23 01:00:00+00:00,0.035,39843
130,2016-10-24 01:00:00+00:00,0.032,32493
131,2016-10-25 01:00:00+00:00,0.037,30841
132,2016-10-26 01:00:00+00:00,0.033,34844
133,2016-10-27 01:00:00+00:00,0.033,37663
134,2016-10-28 01:00:00+00:00,0.034,40551
135,2016-10-29 01:00:00+00:00,0.031,39313
136,2016-10-30 01:00:00+00:00,0.03,31097
137,2016-10-31 01:00:00+00:00,0.032,31403
138,2016-11-01 01:00:00+00:00,0.031,32575
139,2016-11-02 01:00:00+00:00,0.03,29330
140,2016-11-03 01:00:00+00:00,0.031,26004
141,2016-11-04 01:00:00+00:00,0.031,34332
142,2016-11-05 01:00:00+00:00,0.03,46683
143,2016-11-06 01:00:00+00:00,0.03,39013
144,2016-11-07 01:00:00+00:00,0.03,37237
145,2016-11-08 01:00:00+00:00,0.033,31948
146,2016-11-09 01:00:00+00:00,0.03,32613
147,2016-11-10 01:00:00+00:00,0.03,30664
148,2016-11-11 01:00:00+00:00,0.03,44965
149,2016-11-12 01:00:00+00:00,0.03,42072
150,2016-11-13 01:00:00+00:00,0.03,45435
151,2016-11-14 01:00:00+00:00,0.03,40760
152,2016-11-15 01:00:00+00:00,0.03,37748
153,2016-11-16 01:00:00+00:00,0.03,30215
154,2016-11-17 01:00:00+00:00,0.03,46251
155,2016-11-18 01:00:00+00:00,0.032,43963
156,2016-11-19 01:00:00+00:00,0.03,39866
157,2016-11-20 01:00:00+00:00,0.03,44059
158,2016-11-21 01:00:00+00:00,0.03,29699
159,2016-11-22 01:00:00+00:00,0.03,33688
160,2016-11-23 01:00:00+00:00,0.03,33089
161,2016-11-24 01:00:00+00:00,0.03,32959
162,2016-11-25 01:00:00+00:00,0.03,33952
163,2016-11-26 01:00:00+00:00,0.03,42426
164,2016-11-27 01:00:00+00:00,0.03,36838
165,2016-11-28 01:00:00+00:00,0.03,25162
166,2016-11-29 01:00:00+00:00,0.03,42276
167,2016-11-30 01:00:00+00:00,0.03,30522
168,2016-12-01 01:00:00+00:00,0.03,28923
169,2016-12-02 01:00:00+00:00,0.03,28402
