,date,price,volume
60,2017-01-28 01:00:00+00:00,0.144,50751
61,2017-01-29 01:00:00+00:00,0.137,48886
62,2017-01-30 01:00:00+00:00,0.118,39272
63,2017-01-31 01:00:00+00:00,0.124,41230
64,2017-02-01 01:00:00+00:00,0.141,41314
65,2017-02-02 01:00:00+00:00,0.153,41654
66,2017-02-03 01:00:00+00:00,0.152,42298
67,2017-02-04 01:00:00+00:00,0.153,50782
68,2017-02-05 01:00:00+00:00,0.143,43549
69,2017-02-06 01:00:00+00:00,0.142,38099
70,2017-02-07 01:00:00+00:00,0.139,38843
71,2017-02-08 01:00:00+00:00,0.136,37573
72,2017-02-09 01:00:00+00:00,0.128,36572
73,2017-02-10 01:00:00+00:00,0.126,41864
74,2017-02-11 01:00:00+00:00,0.12,47881
75,2017-02-12 01:00:00+00:00,0.11,46340
76,2017-02-13 01:00:00+00:00,0.104,35290
77,2017-02-14 01:00:00+00:00,0.094,32602
78,2017-02-15 01:00:00+00:00,0.089,33480
79,2017-02-16 01:00:00+00:00,0.096,36626
80,2017-02-17 01:00:00+00:00,0.1,38002
81,2017-02-18 01:00:00+00:00,0.098,43926
82,2017-02-19 01:00:00+00:00,0.091,43071
83,2017-02-20 01:00:00+00:00,0.085,33684
84,2017-02-21 01:00:00+00:00,0.084,32899
85,2017-02-22 01:00:00+00:00,0.083,32348
86,2017-02-23 01:00:00+00:00,0.081,36258
87,2017-02-24 01:00:00+00:00,0.091,41265
88,2017-02-25 01:00:00+00:00,0.095,47846
89,2017-02-26 01:00:00+00:00,0.091,46252
90,2017-02-27 01:00:00+00:00,0.089,39598
91,2017-02-28 01:00:00+00:00,0.092,41710
92,2017-03-01 01:00:00+00:00,0.091,39552
93,2017-03-02 01:00:00+00:00,0.091,37003
94,2017-03-03 01:00:00+00:00,0.093,40569
95,2017-03-04 01:00:00+00:00,0.093,48930
96,2017-03-05 01:00:00+00:00,0.09,46664
97,2017-03-06 01:00:00+00:00,0.085,32157
