,date,price,volume
60,2018-10-02 01:00:00+00:00,0.521,31165
61,2018-10-03 01:00:00+00:00,0.484,34145
62,2018-10-04 01:00:00+00:00,0.413,35783
63,2018-10-05 01:00:00+00:00,0.395,43536
64,2018-10-06 01:00:00+00:00,0.347,46496
65,2018-10-07 01:00:00+00:00,0.319,44874
66,2018-10-08 01:00:00+00:00,0.322,37017
67,2018-10-09 01:00:00+00:00,0.331,35013
68,2018-10-10 01:00:00+00:00,0.333,35787
69,2018-10-11 01:00:00+00:00,0.323,35445
70,2018-10-12 01:00:00+00:00,0.308,42010
71,2018-10-13 01:00:00+00:00,0.274,45128
72,2018-10-14 01:00:00+00:00,0.255,43999
73,2018-10-15 01:00:00+00:00,0.268,38165
74,2018-10-16 01:00:00+00:00,0.27,29947
75,2018-10-17 01:00:00+00:00,0.272,32126
76,2018-10-18 01:00:00+00:00,0.27,32123
77,2018-10-19 01:00:00+00:00,0.263,35465
78,2018-10-20 01:00:00+00:00,0.227,39557
79,2018-10-21 01:00:00+00:00,0.196,39610
80,2018-10-22 01:00:00+00:00,0.186,33722
81,2018-10-23 01:00:00+00:00,0.193,31002
82,2018-10-24 01:00:00+00:00,0.193,32155
83,2018-10-25 01:00:00+00:00,0.2,34232
84,2018-10-26 01:00:00+00:00,0.21,37187
85,2018-10-27 01:00:00+00:00,0.205,40385
86,2018-10-28 01:00:00+00:00,0.184,37010
87,2018-10-29 01:00:00+00:00,0.172,33935
88,2018-10-30 01:00:00+00:00,0.176,35205
89,2018-10-31 01:00:00+00:00,0.184,34450
90,2018-11-01 01:00:00+00:00,0.188,34480
91,2018-11-02 01:00:00+00:00,0.195,35202
92,2018-11-03 01:00:00+00:00,0.189,38756
93,2018-11-04 01:00:00+00:00,0.177,36069
94,2018-11-05 01:00:00+00:00,0.167,30292
95,2018-11-06 01:00:00+00:00,0.174,28743
96,2018-11-07 01:00:00+00:00,0.179,28837
97,2018-11-08 01:00:00+00:00,0.175,30185
98,2018-11-09 01:00:00+00:00,0.174,34325
99,2018-11-10 01:00:00+00:00,0.165,37962
100,2018-11-11 01:00:00+00:00,0.146,35695
101,2018-11-12 01:00:00+00:00,0.14,30051
102,2018-11-13 01:00:00+00:00,0.136,25698
103,2018-11-14 01:00:00+00:00,0.135,29689
104,2018-11-15 01:00:00+00:00,0.134,31444
105,2018-11-16 01:00:00+00:00,0.137,34381
106,2018-11-17 01:00:00+00:00,0.137,39176
107,2018-11-18 01:00:00+00:00,0.132,37666
108,2018-11-19 01:00:00+00:00,0.131,29822
109,2018-11-20 01:00:00+00:00,0.122,28909
110,2018-11-21 01:00:00+00:00,0.12,30209
111,2018-11-22 01:00:00+00:00,0.12,30910
112,2018-11-23 01:00:00+00:00,0.118,37214
113,2018-11-24 01:00:00+00:00,0.115,39537
114,2018-11-25 01:00:00+00:00,0.106,36901
115,2018-11-26 01:00:00+00:00,0.095,26599
116,2018-11-27 01:00:00+00:00,0.086,28018
117,2018-11-28 01:00:00+00:00,0.091,27196
118,2018-11-29 01:00:00+00:00,0.102,27859
119,2018-11-30 01:00:00+00:00,0.11,32441
120,2018-12-01 01:00:00+00:00,0.105,37330
121,2018-12-02 01:00:00+00:00,0.104,36272
122,2018-12-03 01:00:00+00:00,0.106,27077
123,2018-12-04 01:00:00+00:00,0.111,27728
124,2018-12-05 01:00:00+00:00,0.113,28407
125,2018-12-06 01:00:00+00:00,0.111,28372
126,2018-12-07 01:00:00+00:00,0.089,45100
127,2018-12-08 01:00:00+00:00,0.066,39933
128,2018-12-09 01:00:00+00:00,0.049,35481
129,2018-12-10 01:00:00+00:00,0.041,29370
130,2018-12-11 01:00:00+00:00,0.041,26183
131,2018-12-12 01:00:00+00:00,0.04,24462
132,2018-12-13 01:00:00+00:00,0.039,25693
133,2018-12-14 01:00:00+00:00,0.038,29264
134,2018-12-15 01:00:00+00:00,0.037,28703
135,2018-12-16 01:00:00+00:00,0.033,28752
136,2018-12-17 01:00:00+00:00,0.03,21749
137,2018-12-18 01:00:00+00:00,0.03,20541
138,2018-12-19 01:00:00+00:00,0.03,18370
139,2018-12-20 01:00:00+00:00,0.03,21738
140,2018-12-21 01:00:00+00:00,0.03,26895
141,2018-12-22 01:00:00+00:00,0.03,29665
142,2018-12-23 01:00:00+00:00,0.03,26232
143,2018-12-24 01:00:00+00:00,0.03,27264
144,2018-12-25 01:00:00+00:00,0.03,31200
145,2018-12-26 01:00:00+00:00,0.03,27137
146,2018-12-27 01:00:00+00:00,0.03,26139
147,2018-12-28 01:00:00+00:00,0.03,27627
148,2018-12-29 01:00:00+00:00,0.03,27161
149,2018-12-30 01:00:00+00:00,0.03,23551
150,2018-12-31 01:00:00+00:00,0.03,23398
151,2019-01-01 01:00:00+00:00,0.03,23538
152,2019-01-02 01:00:00+00:00,0.03,25570
153,2019-01-03 01:00:00+00:00,0.03,23240
154,2019-01-04 01:00:00+00:00,0.03,24388
155,2019-01-05 01:00:00+00:00,0.03,26234
156,2019-01-06 01:00:00+00:00,0.03,26263
157,2019-01-07 01:00:00+00:00,0.03,23299
158,2019-01-08 01:00:00+00:00,0.03,22636
159,2019-01-09 01:00:00+00:00,0.03,23068
160,2019-01-10 01:00:00+00:00,0.03,22061
161,2019-01-11 01:00:00+00:00,0.03,24537
162,2019-01-12 01:00:00+00:00,0.03,27366
163,2019-01-13 01:00:00+00:00,0.03,26347
164,2019-01-14 01:00:00+00:00,0.03,22363
165,2019-01-15 01:00:00+00:00,0.03,24543
166,2019-01-16 01:00:00+00:00,0.03,22129
167,2019-01-17 01:00:00+00:00,0.03,21440
168,2019-01-18 01:00:00+00:00,0.03,24305
169,2019-01-19 01:00:00+00:00,0.03,31233
170,2019-01-20 01:00:00+00:00,0.03,28100
171,2019-01-21 01:00:00+00:00,0.03,26264
172,2019-01-22 01:00:00+00:00,0.03,21314
173,2019-01-23 01:00:00+00:00,0.03,22711
174,2019-01-24 01:00:00+00:00,0.03,21662
175,2019-01-25 01:00:00+00:00,0.03,25646
176,2019-01-26 01:00:00+00:00,0.03,28204
177,2019-01-27 01:00:00+00:00,0.03,26937
178,2019-01-28 01:00:00+00:00,0.03,21964
179,2019-01-29 01:00:00+00:00,0.03,18167
180,2019-01-30 01:00:00+00:00,0.03,23644
181,2019-01-31 01:00:00+00:00,0.03,24317
182,2019-02-01 01:00:00+00:00,0.03,20562
183,2019-02-02 01:00:00+00:00,0.03,29365
184,2019-02-03 01:00:00+00:00,0.03,29580
185,2019-02-04 01:00:00+00:00,0.03,30781
186,2019-02-05 01:00:00+00:00,0.03,21593
187,2019-02-06 01:00:00+00:00,0.03,21140
188,2019-02-07 01:00:00+00:00,0.03,25527
189,2019-02-08 01:00:00+00:00,0.03,26285
190,2019-02-09 01:00:00+00:00,0.03,25784
191,2019-02-10 01:00:00+00:00,0.03,25683
192,2019-02-11 01:00:00+00:00,0.03,22809
193,2019-02-12 01:00:00+00:00,0.03,20919
194,2019-02-13 01:00:00+00:00,0.03,17637
195,2019-02-14 01:00:00+00:00,0.03,16412
196,2019-02-15 01:00:00+00:00,0.03,19746
197,2019-02-16 01:00:00+00:00,0.03,22882
198,2019-02-17 01:00:00+00:00,0.03,20021
199,2019-02-18 01:00:00+00:00,0.03,18005
200,2019-02-19 01:00:00+00:00,0.03,17253
201,2019-02-20 01:00:00+00:00,0.03,23282
202,2019-02-21 01:00:00+00:00,0.03,25739
203,2019-02-22 01:00:00+00:00,0.03,20317
204,2019-02-23 01:00:00+00:00,0.03,24250
205,2019-02-24 01:00:00+00:00,0.03,21849
206,2019-02-25 01:00:00+00:00,0.03,19556
207,2019-02-26 01:00:00+00:00,0.03,21384
208,2019-02-27 01:00:00+00:00,0.03,20705
209,2019-02-28 01:00:00+00:00,0.03,22913
210,2019-03-01 01:00:00+00:00,0.03,25355
211,2019-03-02 01:00:00+00:00,0.03,34321
212,2019-03-03 01:00:00+00:00,0.03,35032
213,2019-03-04 01:00:00+00:00,0.03,28884
214,2019-03-05 01:00:00+00:00,0.03,22192
215,2019-03-06 01:00:00+00:00,0.03,20845
216,2019-03-07 01:00:00+00:00,0.03,18710
217,2019-03-08 01:00:00+00:00,0.03,23613
218,2019-03-09 01:00:00+00:00,0.03,26995
219,2019-03-10 01:00:00+00:00,0.03,23883
220,2019-03-11 01:00:00+00:00,0.03,20370
221,2019-03-12 01:00:00+00:00,0.03,19655
222,2019-03-13 01:00:00+00:00,0.03,18799
223,2019-03-14 01:00:00+00:00,0.03,26839
224,2019-03-15 01:00:00+00:00,0.03,27828
225,2019-03-16 01:00:00+00:00,0.03,34730
226,2019-03-17 01:00:00+00:00,0.03,36220
227,2019-03-18 01:00:00+00:00,0.03,28983
228,2019-03-19 01:00:00+00:00,0.03,26659
229,2019-03-20 01:00:00+00:00,0.03,28544
230,2019-03-21 01:00:00+00:00,0.03,28784
231,2019-03-22 01:00:00+00:00,0.03,32109
232,2019-03-23 01:00:00+00:00,0.03,34628
233,2019-03-24 01:00:00+00:00,0.03,36455
234,2019-03-25 01:00:00+00:00,0.03,28844
235,2019-03-26 01:00:00+00:00,0.03,25765
236,2019-03-27 01:00:00+00:00,0.03,30732
237,2019-03-28 01:00:00+00:00,0.03,33924
238,2019-03-29 01:00:00+00:00,0.03,37951
239,2019-03-30 01:00:00+00:00,0.03,37452
240,2019-03-31 01:00:00+00:00,0.03,36522
241,2019-04-01 01:00:00+00:00,0.03,26834
242,2019-04-02 01:00:00+00:00,0.03,36064
243,2019-04-03 01:00:00+00:00,0.03,29538
244,2019-04-04 01:00:00+00:00,0.03,28566
245,2019-04-05 01:00:00+00:00,0.03,29392
246,2019-04-06 01:00:00+00:00,0.03,30791
247,2019-04-07 01:00:00+00:00,0.03,31043
248,2019-04-08 01:00:00+00:00,0.03,27145
249,2019-04-09 01:00:00+00:00,0.03,24935
250,2019-04-10 01:00:00+00:00,0.03,33361
251,2019-04-11 01:00:00+00:00,0.03,30850
252,2019-04-12 01:00:00+00:00,0.03,35122
253,2019-04-13 01:00:00+00:00,0.03,35045
254,2019-04-14 01:00:00+00:00,0.03,33188
255,2019-04-15 01:00:00+00:00,0.03,29575
256,2019-04-16 01:00:00+00:00,0.03,26294
257,2019-04-17 01:00:00+00:00,0.03,26366
258,2019-04-18 01:00:00+00:00,0.03,25647
259,2019-04-19 01:00:00+00:00,0.03,29792
260,2019-04-20 01:00:00+00:00,0.03,30895
261,2019-04-21 01:00:00+00:00,0.03,36911
262,2019-04-22 01:00:00+00:00,0.03,25789
263,2019-04-23 01:00:00+00:00,0.03,28314
264,2019-04-24 01:00:00+00:00,0.03,23252
265,2019-04-25 01:00:00+00:00,0.03,21154
266,2019-04-26 01:00:00+00:00,0.03,21392
267,2019-04-27 01:00:00+00:00,0.03,27384
268,2019-04-28 01:00:00+00:00,0.03,27894
269,2019-04-29 01:00:00+00:00,0.03,21509
270,2019-04-30 01:00:00+00:00,0.03,27196
271,2019-05-01 01:00:00+00:00,0.03,27603
272,2019-05-02 01:00:00+00:00,0.03,27985
273,2019-05-03 01:00:00+00:00,0.03,32257
274,2019-05-04 01:00:00+00:00,0.03,29059
275,2019-05-05 01:00:00+00:00,0.03,27194
276,2019-05-06 01:00:00+00:00,0.03,22547
277,2019-05-07 01:00:00+00:00,0.03,25448
278,2019-05-08 01:00:00+00:00,0.03,25334
279,2019-05-09 01:00:00+00:00,0.03,27714
280,2019-05-10 01:00:00+00:00,0.03,30710
