,date,price,volume
60,2014-07-01 01:00:00+00:00,0.723,42570
61,2014-07-02 01:00:00+00:00,0.394,51469
62,2014-07-03 01:00:00+00:00,0.353,44271
63,2014-07-04 01:00:00+00:00,0.404,42283
64,2014-07-05 01:00:00+00:00,0.443,40844
65,2014-07-06 01:00:00+00:00,0.447,40813
66,2014-07-07 01:00:00+00:00,0.442,40739
67,2014-07-08 01:00:00+00:00,0.439,38328
68,2014-07-09 01:00:00+00:00,0.43,35207
69,2014-07-10 01:00:00+00:00,0.391,35237
70,2014-07-11 01:00:00+00:00,0.353,39103
71,2014-07-12 01:00:00+00:00,0.342,35857
72,2014-07-13 01:00:00+00:00,0.336,34627
73,2014-07-14 01:00:00+00:00,0.333,35331
74,2014-07-15 01:00:00+00:00,0.332,36433
75,2014-07-16 01:00:00+00:00,0.33,33037
76,2014-07-17 01:00:00+00:00,0.335,28667
77,2014-07-18 01:00:00+00:00,0.338,26706
78,2014-07-19 01:00:00+00:00,0.354,28763
79,2014-07-20 01:00:00+00:00,0.347,26844
80,2014-07-21 01:00:00+00:00,0.326,26887
81,2014-07-22 01:00:00+00:00,0.308,27778
82,2014-07-23 01:00:00+00:00,0.303,31034
83,2014-07-24 01:00:00+00:00,0.302,30543
84,2014-07-25 01:00:00+00:00,0.328,39568
85,2014-07-26 01:00:00+00:00,0.36,35543
86,2014-07-27 01:00:00+00:00,0.353,34316
87,2014-07-28 01:00:00+00:00,0.357,37634
88,2014-07-29 01:00:00+00:00,0.362,39084
89,2014-07-30 01:00:00+00:00,0.399,35365
90,2014-07-31 01:00:00+00:00,0.421,35940
91,2014-08-01 01:00:00+00:00,0.438,36065
92,2014-08-02 01:00:00+00:00,0.471,35181
93,2014-08-03 01:00:00+00:00,0.467,33019
94,2014-08-04 01:00:00+00:00,0.446,33393
95,2014-08-05 01:00:00+00:00,0.407,35912
96,2014-08-06 01:00:00+00:00,0.395,37476
97,2014-08-07 01:00:00+00:00,0.424,37286
98,2014-08-08 01:00:00+00:00,0.44,36637
99,2014-08-09 01:00:00+00:00,0.457,35238
100,2014-08-10 01:00:00+00:00,0.457,32236
101,2014-08-11 01:00:00+00:00,0.45,35388
102,2014-08-12 01:00:00+00:00,0.447,33520
103,2014-08-13 01:00:00+00:00,0.438,33895
104,2014-08-14 01:00:00+00:00,0.436,35934
105,2014-08-15 01:00:00+00:00,0.472,40763
106,2014-08-16 01:00:00+00:00,0.485,40504
107,2014-08-17 01:00:00+00:00,0.446,42034
108,2014-08-18 01:00:00+00:00,0.439,38914
109,2014-08-19 01:00:00+00:00,0.464,39156
110,2014-08-20 01:00:00+00:00,0.464,38155
111,2014-08-21 01:00:00+00:00,0.466,37959
112,2014-08-22 01:00:00+00:00,0.491,41835
113,2014-08-23 01:00:00+00:00,0.522,42952
114,2014-08-24 01:00:00+00:00,0.512,37920
115,2014-08-25 01:00:00+00:00,0.544,44883
116,2014-08-26 01:00:00+00:00,0.584,39331
117,2014-08-27 01:00:00+00:00,0.604,37608
118,2014-08-28 01:00:00+00:00,0.616,38927
119,2014-08-29 01:00:00+00:00,0.671,48185
