,date,price,volume
60,2013-11-20 01:00:00+00:00,0.545,7619
61,2013-11-21 01:00:00+00:00,0.509,8430
62,2013-11-22 01:00:00+00:00,0.526,9098
63,2013-11-23 01:00:00+00:00,0.494,10196
64,2013-11-24 01:00:00+00:00,0.462,10801
65,2013-11-25 01:00:00+00:00,0.534,10725
66,2013-11-26 01:00:00+00:00,0.556,9425
67,2013-11-27 01:00:00+00:00,0.582,9616
68,2013-11-28 01:00:00+00:00,0.546,9763
69,2013-11-29 01:00:00+00:00,0.595,12362
70,2013-11-30 01:00:00+00:00,0.566,14120
71,2013-12-01 01:00:00+00:00,0.564,16308
72,2013-12-02 01:00:00+00:00,0.548,13117
73,2013-12-03 01:00:00+00:00,0.565,12694
74,2013-12-04 01:00:00+00:00,0.6,11918
75,2013-12-05 01:00:00+00:00,0.623,12387
76,2013-12-06 01:00:00+00:00,0.641,13459
77,2013-12-07 01:00:00+00:00,0.599,14291
78,2013-12-08 01:00:00+00:00,0.568,16176
79,2013-12-09 01:00:00+00:00,0.57,14564
80,2013-12-10 01:00:00+00:00,0.566,12477
81,2013-12-11 01:00:00+00:00,0.566,13196
82,2013-12-12 01:00:00+00:00,0.559,13129
83,2013-12-13 01:00:00+00:00,0.561,14251
84,2013-12-14 01:00:00+00:00,0.541,14479
85,2013-12-15 01:00:00+00:00,0.507,14386
86,2013-12-16 01:00:00+00:00,0.481,14401
87,2013-12-17 01:00:00+00:00,0.476,12343
88,2013-12-18 01:00:00+00:00,0.474,13489
89,2013-12-19 01:00:00+00:00,0.304,14113
90,2013-12-20 01:00:00+00:00,0.175,13818
91,2013-12-21 01:00:00+00:00,0.151,14074
92,2013-12-22 01:00:00+00:00,0.129,13708
93,2013-12-23 01:00:00+00:00,0.124,14488
94,2013-12-24 01:00:00+00:00,0.135,16209
95,2013-12-25 01:00:00+00:00,0.176,13288
96,2013-12-26 01:00:00+00:00,0.204,17637
97,2013-12-27 01:00:00+00:00,0.21,18300
98,2013-12-28 01:00:00+00:00,0.192,17160
99,2013-12-29 01:00:00+00:00,0.163,14699
100,2013-12-30 01:00:00+00:00,0.138,15768
101,2013-12-31 01:00:00+00:00,0.135,13375
102,2014-01-01 01:00:00+00:00,0.136,14295
103,2014-01-02 01:00:00+00:00,0.133,16284
104,2014-01-03 01:00:00+00:00,0.126,11377
105,2014-01-04 01:00:00+00:00,0.126,19185
106,2014-01-05 01:00:00+00:00,0.122,18438
107,2014-01-06 01:00:00+00:00,0.119,18562
108,2014-01-07 01:00:00+00:00,0.119,17789
109,2014-01-08 01:00:00+00:00,0.122,16267
110,2014-01-09 01:00:00+00:00,0.124,18821
111,2014-01-10 01:00:00+00:00,0.126,20912
112,2014-01-11 01:00:00+00:00,0.135,19019
113,2014-01-12 01:00:00+00:00,0.114,18401
114,2014-01-13 01:00:00+00:00,0.106,17802
115,2014-01-14 01:00:00+00:00,0.106,17242
116,2014-01-15 01:00:00+00:00,0.112,18434
117,2014-01-16 01:00:00+00:00,0.118,18820
