,date,price,volume
60,2014-08-31 01:00:00+00:00,1.123,34202
61,2014-09-01 01:00:00+00:00,1.112,34913
62,2014-09-02 01:00:00+00:00,1.132,32527
63,2014-09-03 01:00:00+00:00,1.124,30585
64,2014-09-04 01:00:00+00:00,1.059,24668
65,2014-09-05 01:00:00+00:00,1.028,32233
66,2014-09-06 01:00:00+00:00,0.994,35741
67,2014-09-07 01:00:00+00:00,0.94,34042
68,2014-09-08 01:00:00+00:00,0.915,31187
69,2014-09-09 01:00:00+00:00,0.912,30821
70,2014-09-10 01:00:00+00:00,0.91,31580
71,2014-09-11 01:00:00+00:00,0.877,38503
72,2014-09-12 01:00:00+00:00,0.803,46270
73,2014-09-13 01:00:00+00:00,0.676,57431
74,2014-09-14 01:00:00+00:00,0.612,51822
75,2014-09-15 01:00:00+00:00,0.639,44218
76,2014-09-16 01:00:00+00:00,0.646,40878
77,2014-09-17 01:00:00+00:00,0.686,42057
78,2014-09-18 01:00:00+00:00,0.709,40321
79,2014-09-19 01:00:00+00:00,0.655,48091
80,2014-09-20 01:00:00+00:00,0.544,58906
81,2014-09-21 01:00:00+00:00,0.479,52535
82,2014-09-22 01:00:00+00:00,0.476,47857
83,2014-09-23 01:00:00+00:00,0.484,45874
84,2014-09-24 01:00:00+00:00,0.476,44060
85,2014-09-25 01:00:00+00:00,0.523,50389
86,2014-09-26 01:00:00+00:00,0.527,54625
87,2014-09-27 01:00:00+00:00,0.479,62819
88,2014-09-28 01:00:00+00:00,0.434,60936
89,2014-09-29 01:00:00+00:00,0.441,52314
90,2014-09-30 01:00:00+00:00,0.489,55948
91,2014-10-01 01:00:00+00:00,0.537,54187
92,2014-10-02 01:00:00+00:00,0.538,51552
93,2014-10-03 01:00:00+00:00,0.504,57502
94,2014-10-04 01:00:00+00:00,0.52,55192
95,2014-10-05 01:00:00+00:00,0.515,52164
96,2014-10-06 01:00:00+00:00,0.537,41624
97,2014-10-07 01:00:00+00:00,0.576,40904
98,2014-10-08 01:00:00+00:00,0.593,40011
99,2014-10-09 01:00:00+00:00,0.611,41193
100,2014-10-10 01:00:00+00:00,0.647,47973
101,2014-10-11 01:00:00+00:00,0.629,50480
102,2014-10-12 01:00:00+00:00,0.56,46522
103,2014-10-13 01:00:00+00:00,0.547,40242
104,2014-10-14 01:00:00+00:00,0.54,39170
105,2014-10-15 01:00:00+00:00,0.552,40088
106,2014-10-16 01:00:00+00:00,0.551,39208
107,2014-10-17 01:00:00+00:00,0.563,46745
108,2014-10-18 01:00:00+00:00,0.544,48402
109,2014-10-19 01:00:00+00:00,0.484,44802
110,2014-10-20 01:00:00+00:00,0.468,38618
111,2014-10-21 01:00:00+00:00,0.47,37107
112,2014-10-22 01:00:00+00:00,0.465,38938
113,2014-10-23 01:00:00+00:00,0.468,41977
114,2014-10-24 01:00:00+00:00,0.495,50610
115,2014-10-25 01:00:00+00:00,0.474,49102
116,2014-10-26 01:00:00+00:00,0.442,51596
117,2014-10-27 01:00:00+00:00,0.438,40958
118,2014-10-28 01:00:00+00:00,0.432,40991
119,2014-10-29 01:00:00+00:00,0.437,42207
120,2014-10-30 01:00:00+00:00,0.429,45009
121,2014-10-31 01:00:00+00:00,0.447,54601
122,2014-11-01 01:00:00+00:00,0.443,52595
123,2014-11-02 01:00:00+00:00,0.412,51840
124,2014-11-03 01:00:00+00:00,0.384,43267
125,2014-11-04 01:00:00+00:00,0.41,44197
126,2014-11-05 01:00:00+00:00,0.407,39678
127,2014-11-06 01:00:00+00:00,0.398,41597
128,2014-11-07 01:00:00+00:00,0.396,46468
129,2014-11-08 01:00:00+00:00,0.378,50637
130,2014-11-09 01:00:00+00:00,0.327,48066
131,2014-11-10 01:00:00+00:00,0.328,43199
132,2014-11-11 01:00:00+00:00,0.328,41603
133,2014-11-12 01:00:00+00:00,0.207,53713
134,2014-11-13 01:00:00+00:00,0.17,46535
135,2014-11-14 01:00:00+00:00,0.212,46625
136,2014-11-15 01:00:00+00:00,0.192,47054
137,2014-11-16 01:00:00+00:00,0.158,44323
138,2014-11-17 01:00:00+00:00,0.151,36221
