,date,price,volume
60,2021-02-01 01:00:00+00:00,0.638,76271
61,2021-02-02 01:00:00+00:00,0.633,86453
62,2021-02-03 01:00:00+00:00,0.6,126290
63,2021-02-04 01:00:00+00:00,0.621,100731
64,2021-02-05 01:00:00+00:00,0.63,94920
65,2021-02-06 01:00:00+00:00,0.644,91714
66,2021-02-07 01:00:00+00:00,0.643,75417
67,2021-02-08 01:00:00+00:00,0.639,70563
68,2021-02-09 01:00:00+00:00,0.635,89739
69,2021-02-10 01:00:00+00:00,0.612,132480
70,2021-02-11 01:00:00+00:00,0.622,114190
71,2021-02-12 01:00:00+00:00,0.617,94179
72,2021-02-13 01:00:00+00:00,0.616,98208
73,2021-02-14 01:00:00+00:00,0.61,85404
74,2021-02-15 01:00:00+00:00,0.605,83397
75,2021-02-16 01:00:00+00:00,0.596,88882
76,2021-02-17 01:00:00+00:00,0.563,123982
77,2021-02-18 01:00:00+00:00,0.567,103198
78,2021-02-19 01:00:00+00:00,0.587,100665
79,2021-02-20 01:00:00+00:00,0.605,102360
80,2021-02-21 01:00:00+00:00,0.616,90090
81,2021-02-22 01:00:00+00:00,0.63,86203
82,2021-02-23 01:00:00+00:00,0.645,106919
83,2021-02-24 01:00:00+00:00,0.629,167022
84,2021-02-25 01:00:00+00:00,0.648,135827
85,2021-02-26 01:00:00+00:00,0.669,129088
86,2021-02-27 01:00:00+00:00,0.682,126829
87,2021-02-28 01:00:00+00:00,0.691,118276
88,2021-03-01 01:00:00+00:00,0.721,115927
89,2021-03-02 01:00:00+00:00,0.758,154643
90,2021-03-03 01:00:00+00:00,0.736,212027
91,2021-03-04 01:00:00+00:00,0.717,145610
92,2021-03-05 01:00:00+00:00,0.729,162285
93,2021-03-06 01:00:00+00:00,0.749,167498
94,2021-03-07 01:00:00+00:00,0.756,151442
95,2021-03-08 01:00:00+00:00,0.751,137150
96,2021-03-09 01:00:00+00:00,0.741,169350
97,2021-03-10 01:00:00+00:00,0.715,224689
98,2021-03-11 01:00:00+00:00,0.722,186595
99,2021-03-12 01:00:00+00:00,0.727,185279
100,2021-03-13 01:00:00+00:00,0.73,183304
101,2021-03-14 01:00:00+00:00,0.726,156355
102,2021-03-15 01:00:00+00:00,0.707,144580
103,2021-03-16 01:00:00+00:00,0.688,184672
104,2021-03-17 01:00:00+00:00,0.683,311639
105,2021-03-18 01:00:00+00:00,0.678,222514
106,2021-03-19 01:00:00+00:00,0.673,224169
107,2021-03-20 01:00:00+00:00,0.664,208360
108,2021-03-21 01:00:00+00:00,0.655,189357
109,2021-03-22 01:00:00+00:00,0.651,176495
110,2021-03-23 01:00:00+00:00,0.683,200770
111,2021-03-24 01:00:00+00:00,0.714,180792
112,2021-03-25 01:00:00+00:00,0.713,166453
113,2021-03-26 01:00:00+00:00,0.701,176090
114,2021-03-27 01:00:00+00:00,0.699,167321
115,2021-03-28 01:00:00+00:00,0.695,171579
116,2021-03-29 01:00:00+00:00,0.693,159678
117,2021-03-30 01:00:00+00:00,0.684,153070
118,2021-03-31 01:00:00+00:00,0.683,163349
119,2021-04-01 01:00:00+00:00,0.69,161430
120,2021-04-02 01:00:00+00:00,0.693,189561
121,2021-04-03 01:00:00+00:00,0.693,183175
122,2021-04-04 01:00:00+00:00,0.697,174188
123,2021-04-05 01:00:00+00:00,0.697,173188
124,2021-04-06 01:00:00+00:00,0.711,176189
125,2021-04-07 01:00:00+00:00,0.68,155359
126,2021-04-08 01:00:00+00:00,0.611,131933
127,2021-04-09 01:00:00+00:00,0.636,225404
128,2021-04-10 01:00:00+00:00,0.62,190028
129,2021-04-11 01:00:00+00:00,0.584,138456
130,2021-04-12 01:00:00+00:00,0.594,165136
131,2021-04-13 01:00:00+00:00,0.588,172234
132,2021-04-14 01:00:00+00:00,0.598,66903
133,2021-04-15 01:00:00+00:00,0.599,223440
134,2021-04-16 01:00:00+00:00,0.613,200207
135,2021-04-17 01:00:00+00:00,0.673,207681
136,2021-04-18 01:00:00+00:00,0.665,146165
137,2021-04-19 01:00:00+00:00,0.671,197167
138,2021-04-20 01:00:00+00:00,0.679,173332
139,2021-04-21 01:00:00+00:00,0.698,211225
140,2021-04-22 01:00:00+00:00,0.765,168084
141,2021-04-23 01:00:00+00:00,0.793,124719
142,2021-04-24 01:00:00+00:00,0.814,99573
143,2021-04-25 01:00:00+00:00,0.808,118598
144,2021-04-26 01:00:00+00:00,0.799,115604
145,2021-04-27 01:00:00+00:00,0.794,108249
146,2021-04-28 01:00:00+00:00,0.795,119861
147,2021-04-29 01:00:00+00:00,0.818,166597
148,2021-04-30 01:00:00+00:00,0.85,142906
149,2021-05-01 01:00:00+00:00,0.812,109575
150,2021-05-02 01:00:00+00:00,0.768,114739
151,2021-05-03 01:00:00+00:00,0.744,211755
152,2021-05-04 01:00:00+00:00,0.559,390356
153,2021-05-05 01:00:00+00:00,0.554,153608
154,2021-05-06 01:00:00+00:00,0.516,206875
155,2021-05-07 01:00:00+00:00,0.472,250379
156,2021-05-08 01:00:00+00:00,0.483,148198
157,2021-05-09 01:00:00+00:00,0.471,121311
158,2021-05-10 01:00:00+00:00,0.464,110048
159,2021-05-11 01:00:00+00:00,0.454,132341
160,2021-05-12 01:00:00+00:00,0.461,113609
161,2021-05-13 01:00:00+00:00,0.536,109479
162,2021-05-14 01:00:00+00:00,0.573,75227
163,2021-05-15 01:00:00+00:00,0.577,65381
164,2021-05-16 01:00:00+00:00,0.554,64079
165,2021-05-17 01:00:00+00:00,0.533,60659
166,2021-05-18 01:00:00+00:00,0.532,53614
167,2021-05-19 01:00:00+00:00,0.53,50970
168,2021-05-20 01:00:00+00:00,0.517,52308
169,2021-05-21 01:00:00+00:00,0.498,75001
170,2021-05-22 01:00:00+00:00,0.514,57399
171,2021-05-23 01:00:00+00:00,0.524,59797
172,2021-05-24 01:00:00+00:00,0.522,53486
173,2021-05-25 01:00:00+00:00,0.521,54206
174,2021-05-26 01:00:00+00:00,0.531,58587
175,2021-05-27 01:00:00+00:00,0.543,56894
176,2021-05-28 01:00:00+00:00,0.571,59909
177,2021-05-29 01:00:00+00:00,0.597,62706
178,2021-05-30 01:00:00+00:00,0.619,49183
179,2021-05-31 01:00:00+00:00,0.621,53608
180,2021-06-01 01:00:00+00:00,0.617,46650
181,2021-06-02 01:00:00+00:00,0.603,48827
182,2021-06-03 01:00:00+00:00,0.588,48310
183,2021-06-04 01:00:00+00:00,0.586,74119
184,2021-06-05 01:00:00+00:00,0.625,76179
185,2021-06-06 01:00:00+00:00,0.623,42222
186,2021-06-07 01:00:00+00:00,0.618,35349
187,2021-06-08 01:00:00+00:00,0.611,35174
188,2021-06-09 01:00:00+00:00,0.612,35051
189,2021-06-10 01:00:00+00:00,0.622,43921
190,2021-06-11 01:00:00+00:00,0.627,42013
191,2021-06-12 01:00:00+00:00,0.632,40256
192,2021-06-13 01:00:00+00:00,0.633,39683
193,2021-06-14 01:00:00+00:00,0.641,37705
194,2021-06-15 01:00:00+00:00,0.648,40087
195,2021-06-16 01:00:00+00:00,0.66,30336
196,2021-06-17 01:00:00+00:00,0.659,29290
197,2021-06-18 01:00:00+00:00,0.659,34674
198,2021-06-19 01:00:00+00:00,0.666,36176
199,2021-06-20 01:00:00+00:00,0.663,29407
200,2021-06-21 01:00:00+00:00,0.644,27793
201,2021-06-22 01:00:00+00:00,0.615,33352
202,2021-06-23 01:00:00+00:00,0.595,29753
203,2021-06-24 01:00:00+00:00,0.556,36779
204,2021-06-25 01:00:00+00:00,0.553,33839
205,2021-06-26 01:00:00+00:00,0.567,25269
206,2021-06-27 01:00:00+00:00,0.585,23211
207,2021-06-28 01:00:00+00:00,0.593,25056
208,2021-06-29 01:00:00+00:00,0.588,25650
209,2021-06-30 01:00:00+00:00,0.575,24458
210,2021-07-01 01:00:00+00:00,0.589,28306
211,2021-07-02 01:00:00+00:00,0.594,23837
212,2021-07-03 01:00:00+00:00,0.595,25939
213,2021-07-04 01:00:00+00:00,0.575,18584
214,2021-07-05 01:00:00+00:00,0.576,20424
215,2021-07-06 01:00:00+00:00,0.57,18447
216,2021-07-07 01:00:00+00:00,0.558,22469
217,2021-07-08 01:00:00+00:00,0.553,22948
218,2021-07-09 01:00:00+00:00,0.545,19693
219,2021-07-10 01:00:00+00:00,0.542,18110
220,2021-07-11 01:00:00+00:00,0.536,19107
221,2021-07-12 01:00:00+00:00,0.524,23273
222,2021-07-13 01:00:00+00:00,0.528,14447
223,2021-07-14 01:00:00+00:00,0.5,24569
224,2021-07-15 01:00:00+00:00,0.495,21863
225,2021-07-16 01:00:00+00:00,0.511,17228
226,2021-07-17 01:00:00+00:00,0.511,17840
227,2021-07-18 01:00:00+00:00,0.51,17693
228,2021-07-19 01:00:00+00:00,0.506,16517
229,2021-07-20 01:00:00+00:00,0.501,17764
230,2021-07-21 01:00:00+00:00,0.494,17948
231,2021-07-22 01:00:00+00:00,0.483,25893
232,2021-07-23 01:00:00+00:00,0.484,21515
233,2021-07-24 01:00:00+00:00,0.49,18413
234,2021-07-25 01:00:00+00:00,0.502,19237
235,2021-07-26 01:00:00+00:00,0.495,15543
236,2021-07-27 01:00:00+00:00,0.499,13044
237,2021-07-28 01:00:00+00:00,0.497,18235
238,2021-07-29 01:00:00+00:00,0.5,17050
239,2021-07-30 01:00:00+00:00,0.499,17065
240,2021-07-31 01:00:00+00:00,0.505,16328
241,2021-08-01 01:00:00+00:00,0.502,14971
242,2021-08-02 01:00:00+00:00,0.495,16840
243,2021-08-03 01:00:00+00:00,0.487,17586
244,2021-08-04 01:00:00+00:00,0.481,18336
245,2021-08-05 01:00:00+00:00,0.477,14933
246,2021-08-06 01:00:00+00:00,0.468,23108
247,2021-08-07 01:00:00+00:00,0.462,18822
248,2021-08-08 01:00:00+00:00,0.459,18028
249,2021-08-09 01:00:00+00:00,0.435,24884
250,2021-08-10 01:00:00+00:00,0.428,18418
251,2021-08-11 01:00:00+00:00,0.438,14402
252,2021-08-12 01:00:00+00:00,0.447,11892
253,2021-08-13 01:00:00+00:00,0.446,13232
254,2021-08-14 01:00:00+00:00,0.454,13497
255,2021-08-15 01:00:00+00:00,0.457,14462
256,2021-08-16 01:00:00+00:00,0.452,11587
257,2021-08-17 01:00:00+00:00,0.438,10011
258,2021-08-18 01:00:00+00:00,0.429,11249
259,2021-08-19 01:00:00+00:00,0.419,12412
260,2021-08-20 01:00:00+00:00,0.43,12860
261,2021-08-21 01:00:00+00:00,0.432,11742
262,2021-08-22 01:00:00+00:00,0.436,13906
263,2021-08-23 01:00:00+00:00,0.436,11760
264,2021-08-24 01:00:00+00:00,0.424,10988
265,2021-08-25 01:00:00+00:00,0.428,11396
266,2021-08-26 01:00:00+00:00,0.419,9802
267,2021-08-27 01:00:00+00:00,0.421,12120
268,2021-08-28 01:00:00+00:00,0.423,14379
269,2021-08-29 01:00:00+00:00,0.426,10991
270,2021-08-30 01:00:00+00:00,0.427,13322
271,2021-08-31 01:00:00+00:00,0.428,15859
272,2021-09-01 01:00:00+00:00,0.421,13758
273,2021-09-02 01:00:00+00:00,0.429,13466
274,2021-09-03 01:00:00+00:00,0.428,13986
275,2021-09-04 01:00:00+00:00,0.427,14924
276,2021-09-05 01:00:00+00:00,0.429,15157
277,2021-09-06 01:00:00+00:00,0.425,12124
278,2021-09-07 01:00:00+00:00,0.412,13193
279,2021-09-08 01:00:00+00:00,0.397,16826
280,2021-09-09 01:00:00+00:00,0.396,15033
281,2021-09-10 01:00:00+00:00,0.384,19725
282,2021-09-11 01:00:00+00:00,0.39,18685
283,2021-09-12 01:00:00+00:00,0.392,15087
284,2021-09-13 01:00:00+00:00,0.388,11929
285,2021-09-14 01:00:00+00:00,0.387,15850
286,2021-09-15 01:00:00+00:00,0.383,16824
287,2021-09-16 01:00:00+00:00,0.387,13704
288,2021-09-17 01:00:00+00:00,0.386,14244
289,2021-09-18 01:00:00+00:00,0.388,14948
290,2021-09-19 01:00:00+00:00,0.385,13809
291,2021-09-20 01:00:00+00:00,0.383,12472
292,2021-09-21 01:00:00+00:00,0.376,12928
293,2021-09-22 01:00:00+00:00,0.289,120290
294,2021-09-23 01:00:00+00:00,0.283,34194
295,2021-09-24 01:00:00+00:00,0.292,29187
296,2021-09-25 01:00:00+00:00,0.325,27624
297,2021-09-26 01:00:00+00:00,0.329,14795
298,2021-09-27 01:00:00+00:00,0.32,12926
299,2021-09-28 01:00:00+00:00,0.3,16012
300,2021-09-29 01:00:00+00:00,0.29,25670
301,2021-09-30 01:00:00+00:00,0.293,20884
302,2021-10-01 01:00:00+00:00,0.296,18209
303,2021-10-02 01:00:00+00:00,0.295,16375
304,2021-10-03 01:00:00+00:00,0.305,21009
305,2021-10-04 01:00:00+00:00,0.319,12946
306,2021-10-05 01:00:00+00:00,0.324,14179
307,2021-10-06 01:00:00+00:00,0.319,14470
308,2021-10-07 01:00:00+00:00,0.325,15262
309,2021-10-08 01:00:00+00:00,0.331,17064
310,2021-10-09 01:00:00+00:00,0.342,20415
311,2021-10-10 01:00:00+00:00,0.349,16556
312,2021-10-11 01:00:00+00:00,0.333,12020
313,2021-10-12 01:00:00+00:00,0.322,13369
314,2021-10-13 01:00:00+00:00,0.322,11941
315,2021-10-14 01:00:00+00:00,0.319,15382
316,2021-10-15 01:00:00+00:00,0.326,16280
317,2021-10-16 01:00:00+00:00,0.326,22707
318,2021-10-17 01:00:00+00:00,0.337,18717
319,2021-10-18 01:00:00+00:00,0.334,16412
320,2021-10-19 01:00:00+00:00,0.331,17246
321,2021-10-20 01:00:00+00:00,0.329,16757
322,2021-10-21 01:00:00+00:00,0.326,17016
323,2021-10-22 01:00:00+00:00,0.29,31898
324,2021-10-23 01:00:00+00:00,0.3,20835
325,2021-10-24 01:00:00+00:00,0.303,17697
326,2021-10-25 01:00:00+00:00,0.295,17166
327,2021-10-26 01:00:00+00:00,0.29,17213
328,2021-10-27 01:00:00+00:00,0.297,18213
329,2021-10-28 01:00:00+00:00,0.305,17980
330,2021-10-29 01:00:00+00:00,0.326,21046
331,2021-10-30 01:00:00+00:00,0.347,23122
332,2021-10-31 01:00:00+00:00,0.357,23780
333,2021-11-01 01:00:00+00:00,0.351,18043
334,2021-11-02 01:00:00+00:00,0.356,19377
335,2021-11-03 01:00:00+00:00,0.365,24041
336,2021-11-04 01:00:00+00:00,0.381,18844
337,2021-11-05 01:00:00+00:00,0.403,18132
338,2021-11-06 01:00:00+00:00,0.392,22056
339,2021-11-07 01:00:00+00:00,0.365,19567
340,2021-11-08 01:00:00+00:00,0.331,22915
341,2021-11-09 01:00:00+00:00,0.316,17913
342,2021-11-10 01:00:00+00:00,0.306,20144
343,2021-11-11 01:00:00+00:00,0.308,14860
344,2021-11-12 01:00:00+00:00,0.313,17673
345,2021-11-13 01:00:00+00:00,0.34,21356
346,2021-11-14 01:00:00+00:00,0.367,15985
347,2021-11-15 01:00:00+00:00,0.373,12419
348,2021-11-16 01:00:00+00:00,0.374,16888
349,2021-11-17 01:00:00+00:00,0.385,14584
350,2021-11-18 01:00:00+00:00,0.397,19145
351,2021-11-19 01:00:00+00:00,0.416,18854
352,2021-11-20 01:00:00+00:00,0.435,20410
353,2021-11-21 01:00:00+00:00,0.435,17493
354,2021-11-22 01:00:00+00:00,0.437,16385
355,2021-11-23 01:00:00+00:00,0.428,15725
356,2021-11-24 01:00:00+00:00,0.424,17887
357,2021-11-25 01:00:00+00:00,0.423,25286
358,2021-11-26 01:00:00+00:00,0.443,22679
359,2021-11-27 01:00:00+00:00,0.467,23671
360,2021-11-28 01:00:00+00:00,0.484,20552
361,2021-11-29 01:00:00+00:00,0.485,16945
362,2021-11-30 01:00:00+00:00,0.449,19915
363,2021-12-01 01:00:00+00:00,0.459,16762
364,2021-12-02 01:00:00+00:00,0.48,17683
365,2021-12-03 01:00:00+00:00,0.501,16563
366,2021-12-04 01:00:00+00:00,0.506,21575
367,2021-12-05 01:00:00+00:00,0.529,16648
368,2021-12-06 01:00:00+00:00,0.542,17500
369,2021-12-07 01:00:00+00:00,0.527,11978
370,2021-12-08 01:00:00+00:00,0.52,13340
371,2021-12-09 01:00:00+00:00,0.535,15955
372,2021-12-10 01:00:00+00:00,0.541,17938
373,2021-12-11 01:00:00+00:00,0.544,16423
374,2021-12-12 01:00:00+00:00,0.539,15856
375,2021-12-13 01:00:00+00:00,0.523,13982
376,2021-12-14 01:00:00+00:00,0.511,15771
377,2021-12-15 01:00:00+00:00,0.493,16633
378,2021-12-16 01:00:00+00:00,0.482,14458
379,2021-12-17 01:00:00+00:00,0.478,14812
380,2021-12-18 01:00:00+00:00,0.485,14020
381,2021-12-19 01:00:00+00:00,0.489,17114
382,2021-12-20 01:00:00+00:00,0.48,16221
383,2021-12-21 01:00:00+00:00,0.459,19577
384,2021-12-22 01:00:00+00:00,0.497,13344
385,2021-12-23 01:00:00+00:00,0.506,14759
386,2021-12-24 01:00:00+00:00,0.52,16145
387,2021-12-25 01:00:00+00:00,0.542,22112
388,2021-12-26 01:00:00+00:00,0.54,17132
389,2021-12-27 01:00:00+00:00,0.538,13983
390,2021-12-28 01:00:00+00:00,0.541,16810
391,2021-12-29 01:00:00+00:00,0.545,16847
392,2021-12-30 01:00:00+00:00,0.552,18361
393,2021-12-31 01:00:00+00:00,0.57,20757
394,2022-01-01 01:00:00+00:00,0.588,22089
395,2022-01-02 01:00:00+00:00,0.608,17566
396,2022-01-03 01:00:00+00:00,0.615,14591
397,2022-01-04 01:00:00+00:00,0.619,16216
398,2022-01-05 01:00:00+00:00,0.617,15962
399,2022-01-06 01:00:00+00:00,0.623,13660
400,2022-01-07 01:00:00+00:00,0.622,16023
401,2022-01-08 01:00:00+00:00,0.632,16685
402,2022-01-09 01:00:00+00:00,0.641,14947
403,2022-01-10 01:00:00+00:00,0.648,14144
404,2022-01-11 01:00:00+00:00,0.654,13617
405,2022-01-12 01:00:00+00:00,0.669,16153
406,2022-01-13 01:00:00+00:00,0.707,16138
407,2022-01-14 01:00:00+00:00,0.73,17621
408,2022-01-15 01:00:00+00:00,0.724,15416
409,2022-01-16 01:00:00+00:00,0.712,14966
410,2022-01-17 01:00:00+00:00,0.693,13399
411,2022-01-18 01:00:00+00:00,0.662,13708
412,2022-01-19 01:00:00+00:00,0.678,16172
413,2022-01-20 01:00:00+00:00,0.7,13946
414,2022-01-21 01:00:00+00:00,0.685,17219
415,2022-01-22 01:00:00+00:00,0.694,16978
416,2022-01-23 01:00:00+00:00,0.681,12502
417,2022-01-24 01:00:00+00:00,0.671,12710
418,2022-01-25 01:00:00+00:00,0.682,16667
419,2022-01-26 01:00:00+00:00,0.689,12351
420,2022-01-27 01:00:00+00:00,0.683,14769
421,2022-01-28 01:00:00+00:00,0.684,15771
422,2022-01-29 01:00:00+00:00,0.682,15091
423,2022-01-30 01:00:00+00:00,0.68,16486
424,2022-01-31 01:00:00+00:00,0.693,19002
425,2022-02-01 01:00:00+00:00,0.708,19411
426,2022-02-02 01:00:00+00:00,0.702,17275
427,2022-02-03 01:00:00+00:00,0.695,16988
428,2022-02-04 01:00:00+00:00,0.688,18073
429,2022-02-05 01:00:00+00:00,0.698,16686
430,2022-02-06 01:00:00+00:00,0.694,15879
431,2022-02-07 01:00:00+00:00,0.691,12732
432,2022-02-08 01:00:00+00:00,0.688,12870
433,2022-02-09 01:00:00+00:00,0.677,13478
434,2022-02-10 01:00:00+00:00,0.674,11989
435,2022-02-11 01:00:00+00:00,0.68,16424
436,2022-02-12 01:00:00+00:00,0.681,17388
437,2022-02-13 01:00:00+00:00,0.68,14229
438,2022-02-14 01:00:00+00:00,0.677,12251
439,2022-02-15 01:00:00+00:00,0.68,14107
440,2022-02-16 01:00:00+00:00,0.67,11425
441,2022-02-17 01:00:00+00:00,0.669,8601
442,2022-02-18 01:00:00+00:00,0.677,14575
443,2022-02-19 01:00:00+00:00,0.679,15087
444,2022-02-20 01:00:00+00:00,0.672,12433
445,2022-02-21 01:00:00+00:00,0.672,11695
446,2022-02-22 01:00:00+00:00,0.668,12859
447,2022-02-23 01:00:00+00:00,0.646,13303
448,2022-02-24 01:00:00+00:00,0.668,16129
