,date,price,volume
60,2014-04-22 01:00:00+00:00,1.123,24463
61,2014-04-23 01:00:00+00:00,1.123,23621
62,2014-04-24 01:00:00+00:00,1.135,24609
63,2014-04-25 01:00:00+00:00,1.218,27268
64,2014-04-26 01:00:00+00:00,1.184,26182
65,2014-04-27 01:00:00+00:00,1.142,26085
66,2014-04-28 01:00:00+00:00,1.131,24595
67,2014-04-29 01:00:00+00:00,1.13,25646
68,2014-04-30 01:00:00+00:00,1.206,30105
69,2014-05-01 01:00:00+00:00,1.235,26924
70,2014-05-02 01:00:00+00:00,0.977,31834
71,2014-05-03 01:00:00+00:00,0.887,30089
72,2014-05-04 01:00:00+00:00,0.812,30870
73,2014-05-05 01:00:00+00:00,0.781,29223
74,2014-05-06 01:00:00+00:00,0.767,26105
75,2014-05-07 01:00:00+00:00,0.75,24382
76,2014-05-08 01:00:00+00:00,0.738,26998
77,2014-05-09 01:00:00+00:00,0.741,32203
78,2014-05-10 01:00:00+00:00,0.691,29279
79,2014-05-11 01:00:00+00:00,0.566,28559
80,2014-05-12 01:00:00+00:00,0.506,24289
81,2014-05-13 01:00:00+00:00,0.483,25145
82,2014-05-14 01:00:00+00:00,0.482,27455
83,2014-05-15 01:00:00+00:00,0.502,28466
84,2014-05-16 01:00:00+00:00,0.498,28585
85,2014-05-17 01:00:00+00:00,0.461,28953
86,2014-05-18 01:00:00+00:00,0.417,28367
87,2014-05-19 01:00:00+00:00,0.393,25468
88,2014-05-20 01:00:00+00:00,0.391,27540
89,2014-05-21 01:00:00+00:00,0.385,29683
90,2014-05-22 01:00:00+00:00,0.385,30297
91,2014-05-23 01:00:00+00:00,0.444,43200
92,2014-05-24 01:00:00+00:00,0.485,35418
93,2014-05-25 01:00:00+00:00,0.442,33360
94,2014-05-26 01:00:00+00:00,0.416,31758
95,2014-05-27 01:00:00+00:00,0.399,32373
96,2014-05-28 01:00:00+00:00,0.423,38310
97,2014-05-29 01:00:00+00:00,0.456,38541
98,2014-05-30 01:00:00+00:00,0.509,36704
99,2014-05-31 01:00:00+00:00,0.482,31259
100,2014-06-01 01:00:00+00:00,0.444,33955
101,2014-06-02 01:00:00+00:00,0.458,41025
102,2014-06-03 01:00:00+00:00,0.535,41593
103,2014-06-04 01:00:00+00:00,0.556,34508
104,2014-06-05 01:00:00+00:00,0.498,28023
105,2014-06-06 01:00:00+00:00,0.449,30460
106,2014-06-07 01:00:00+00:00,0.417,33604
107,2014-06-08 01:00:00+00:00,0.375,32842
108,2014-06-09 01:00:00+00:00,0.351,30483
109,2014-06-10 01:00:00+00:00,0.337,32133
110,2014-06-11 01:00:00+00:00,0.329,32098
111,2014-06-12 01:00:00+00:00,0.46,63752
112,2014-06-13 01:00:00+00:00,0.46,36364
113,2014-06-14 01:00:00+00:00,0.431,36105
114,2014-06-15 01:00:00+00:00,0.381,33767
115,2014-06-16 01:00:00+00:00,0.365,35978
116,2014-06-17 01:00:00+00:00,0.362,32341
117,2014-06-18 01:00:00+00:00,0.349,34195
118,2014-06-19 01:00:00+00:00,0.324,37629
119,2014-06-20 01:00:00+00:00,0.271,37585
120,2014-06-21 01:00:00+00:00,0.249,37259
121,2014-06-22 01:00:00+00:00,0.227,37110
122,2014-06-23 01:00:00+00:00,0.215,36399
123,2014-06-24 01:00:00+00:00,0.21,37174
124,2014-06-25 01:00:00+00:00,0.224,43173
125,2014-06-26 01:00:00+00:00,0.233,39653
126,2014-06-27 01:00:00+00:00,0.247,43285
127,2014-06-28 01:00:00+00:00,0.25,41914
128,2014-06-29 01:00:00+00:00,0.248,45539
129,2014-06-30 01:00:00+00:00,0.257,48832
130,2014-07-01 01:00:00+00:00,0.317,49953
131,2014-07-02 01:00:00+00:00,0.21,60334
132,2014-07-03 01:00:00+00:00,0.195,47458
133,2014-07-04 01:00:00+00:00,0.221,41768
134,2014-07-05 01:00:00+00:00,0.227,43366
135,2014-07-06 01:00:00+00:00,0.229,42884
136,2014-07-07 01:00:00+00:00,0.225,43289
137,2014-07-08 01:00:00+00:00,0.222,40457
138,2014-07-09 01:00:00+00:00,0.225,42873
139,2014-07-10 01:00:00+00:00,0.216,40605
140,2014-07-11 01:00:00+00:00,0.197,44525
141,2014-07-12 01:00:00+00:00,0.195,39987
142,2014-07-13 01:00:00+00:00,0.19,38199
143,2014-07-14 01:00:00+00:00,0.189,41246
144,2014-07-15 01:00:00+00:00,0.191,40987
145,2014-07-16 01:00:00+00:00,0.197,40654
146,2014-07-17 01:00:00+00:00,0.21,35422
147,2014-07-18 01:00:00+00:00,0.224,33442
148,2014-07-19 01:00:00+00:00,0.238,33424
149,2014-07-20 01:00:00+00:00,0.232,32214
150,2014-07-21 01:00:00+00:00,0.22,30726
151,2014-07-22 01:00:00+00:00,0.207,32062
152,2014-07-23 01:00:00+00:00,0.202,35711
153,2014-07-24 01:00:00+00:00,0.202,37662
154,2014-07-25 01:00:00+00:00,0.22,46397
155,2014-07-26 01:00:00+00:00,0.249,48654
156,2014-07-27 01:00:00+00:00,0.288,47186
157,2014-07-28 01:00:00+00:00,0.356,46885
158,2014-07-29 01:00:00+00:00,0.347,39059
159,2014-07-30 01:00:00+00:00,0.325,33531
160,2014-07-31 01:00:00+00:00,0.305,37588
161,2014-08-01 01:00:00+00:00,0.342,45701
162,2014-08-02 01:00:00+00:00,0.37,40432
163,2014-08-03 01:00:00+00:00,0.361,38195
164,2014-08-04 01:00:00+00:00,0.351,40202
165,2014-08-05 01:00:00+00:00,0.311,44226
166,2014-08-06 01:00:00+00:00,0.301,41880
167,2014-08-07 01:00:00+00:00,0.313,43014
168,2014-08-08 01:00:00+00:00,0.321,42929
169,2014-08-09 01:00:00+00:00,0.337,40822
170,2014-08-10 01:00:00+00:00,0.327,37060
171,2014-08-11 01:00:00+00:00,0.319,40298
172,2014-08-12 01:00:00+00:00,0.324,40911
173,2014-08-13 01:00:00+00:00,0.328,40409
174,2014-08-14 01:00:00+00:00,0.31,42073
175,2014-08-15 01:00:00+00:00,0.324,50387
176,2014-08-16 01:00:00+00:00,0.338,47429
177,2014-08-17 01:00:00+00:00,0.249,58490
178,2014-08-18 01:00:00+00:00,0.263,46263
179,2014-08-19 01:00:00+00:00,0.313,46753
180,2014-08-20 01:00:00+00:00,0.324,46294
181,2014-08-21 01:00:00+00:00,0.334,48257
182,2014-08-22 01:00:00+00:00,0.357,51080
183,2014-08-23 01:00:00+00:00,0.394,53036
184,2014-08-24 01:00:00+00:00,0.413,48009
185,2014-08-25 01:00:00+00:00,0.442,54571
186,2014-08-26 01:00:00+00:00,0.479,46873
187,2014-08-27 01:00:00+00:00,0.485,43804
188,2014-08-28 01:00:00+00:00,0.491,43801
