,date,price,volume
60,2021-11-28 01:00:00+00:00,0.588,65014
61,2021-11-29 01:00:00+00:00,0.591,61708
62,2021-11-30 01:00:00+00:00,0.571,65089
63,2021-12-01 01:00:00+00:00,0.567,63194
64,2021-12-02 01:00:00+00:00,0.559,68925
65,2021-12-03 01:00:00+00:00,0.564,69745
66,2021-12-04 01:00:00+00:00,0.568,73372
67,2021-12-05 01:00:00+00:00,0.562,63862
68,2021-12-06 01:00:00+00:00,0.552,59236
69,2021-12-07 01:00:00+00:00,0.541,64095
70,2021-12-08 01:00:00+00:00,0.529,64663
71,2021-12-09 01:00:00+00:00,0.505,69751
72,2021-12-10 01:00:00+00:00,0.504,76705
73,2021-12-11 01:00:00+00:00,0.504,76235
74,2021-12-12 01:00:00+00:00,0.493,67439
75,2021-12-13 01:00:00+00:00,0.476,64036
76,2021-12-14 01:00:00+00:00,0.474,67632
77,2021-12-15 01:00:00+00:00,0.459,69569
78,2021-12-16 01:00:00+00:00,0.435,71244
79,2021-12-17 01:00:00+00:00,0.43,70304
80,2021-12-18 01:00:00+00:00,0.434,79270
81,2021-12-19 01:00:00+00:00,0.435,79106
82,2021-12-20 01:00:00+00:00,0.433,72722
83,2021-12-21 01:00:00+00:00,0.439,80836
84,2021-12-22 01:00:00+00:00,0.456,77943
85,2021-12-23 01:00:00+00:00,0.461,83880
86,2021-12-24 01:00:00+00:00,0.48,87756
87,2021-12-25 01:00:00+00:00,0.502,83071
88,2021-12-26 01:00:00+00:00,0.505,74959
89,2021-12-27 01:00:00+00:00,0.503,73702
90,2021-12-28 01:00:00+00:00,0.507,71717
91,2021-12-29 01:00:00+00:00,0.507,81916
92,2021-12-30 01:00:00+00:00,0.502,84525
93,2021-12-31 01:00:00+00:00,0.515,90387
94,2022-01-01 01:00:00+00:00,0.525,92004
95,2022-01-02 01:00:00+00:00,0.524,83409
96,2022-01-03 01:00:00+00:00,0.515,72379
97,2022-01-04 01:00:00+00:00,0.515,78481
98,2022-01-05 01:00:00+00:00,0.512,89746
99,2022-01-06 01:00:00+00:00,0.506,95455
100,2022-01-07 01:00:00+00:00,0.504,91553
101,2022-01-08 01:00:00+00:00,0.512,91036
102,2022-01-09 01:00:00+00:00,0.514,84754
103,2022-01-10 01:00:00+00:00,0.515,86242
104,2022-01-11 01:00:00+00:00,0.512,81825
105,2022-01-12 01:00:00+00:00,0.508,87151
106,2022-01-13 01:00:00+00:00,0.494,96348
107,2022-01-14 01:00:00+00:00,0.482,96899
108,2022-01-15 01:00:00+00:00,0.476,102507
109,2022-01-16 01:00:00+00:00,0.472,90529
110,2022-01-17 01:00:00+00:00,0.465,80807
111,2022-01-18 01:00:00+00:00,0.461,84256
112,2022-01-19 01:00:00+00:00,0.457,84310
113,2022-01-20 01:00:00+00:00,0.464,76944
114,2022-01-21 01:00:00+00:00,0.424,141185
115,2022-01-22 01:00:00+00:00,0.448,81875
116,2022-01-23 01:00:00+00:00,0.442,72844
117,2022-01-24 01:00:00+00:00,0.434,67733
118,2022-01-25 01:00:00+00:00,0.43,73104
119,2022-01-26 01:00:00+00:00,0.436,72019
120,2022-01-27 01:00:00+00:00,0.442,66150
121,2022-01-28 01:00:00+00:00,0.453,78338
122,2022-01-29 01:00:00+00:00,0.473,78530
123,2022-01-30 01:00:00+00:00,0.485,85014
124,2022-01-31 01:00:00+00:00,0.499,87127
125,2022-02-01 01:00:00+00:00,0.515,78981
126,2022-02-02 01:00:00+00:00,0.516,70318
127,2022-02-03 01:00:00+00:00,0.515,68636
128,2022-02-04 01:00:00+00:00,0.515,68114
129,2022-02-05 01:00:00+00:00,0.524,71470
130,2022-02-06 01:00:00+00:00,0.527,64847
131,2022-02-07 01:00:00+00:00,0.527,56284
132,2022-02-08 01:00:00+00:00,0.522,54842
133,2022-02-09 01:00:00+00:00,0.517,51513
134,2022-02-10 01:00:00+00:00,0.527,63017
135,2022-02-11 01:00:00+00:00,0.547,76030
136,2022-02-12 01:00:00+00:00,0.583,93986
137,2022-02-13 01:00:00+00:00,0.603,58863
138,2022-02-14 01:00:00+00:00,0.575,49639
139,2022-02-15 01:00:00+00:00,0.557,50762
