,date,price,volume
60,2015-01-11 01:00:00+00:00,0.055,81413
61,2015-01-12 01:00:00+00:00,0.053,63918
62,2015-01-13 01:00:00+00:00,0.051,60217
63,2015-01-14 01:00:00+00:00,0.051,64528
64,2015-01-15 01:00:00+00:00,0.049,62053
65,2015-01-16 01:00:00+00:00,0.049,65749
66,2015-01-17 01:00:00+00:00,0.048,74348
67,2015-01-18 01:00:00+00:00,0.044,71184
68,2015-01-19 01:00:00+00:00,0.043,57213
69,2015-01-20 01:00:00+00:00,0.043,52989
70,2015-01-21 01:00:00+00:00,0.041,53723
71,2015-01-22 01:00:00+00:00,0.04,53385
72,2015-01-23 01:00:00+00:00,0.041,64879
73,2015-01-24 01:00:00+00:00,0.04,68628
74,2015-01-25 01:00:00+00:00,0.037,76894
75,2015-01-26 01:00:00+00:00,0.036,60000
76,2015-01-27 01:00:00+00:00,0.036,56371
77,2015-01-28 01:00:00+00:00,0.035,59509
78,2015-01-29 01:00:00+00:00,0.037,53555
79,2015-01-30 01:00:00+00:00,0.036,64521
80,2015-01-31 01:00:00+00:00,0.036,71666
81,2015-02-01 01:00:00+00:00,0.034,70415
82,2015-02-02 01:00:00+00:00,0.032,58569
83,2015-02-03 01:00:00+00:00,0.035,57589
84,2015-02-04 01:00:00+00:00,0.031,58540
85,2015-02-05 01:00:00+00:00,0.032,62427
86,2015-02-06 01:00:00+00:00,0.033,61084
87,2015-02-07 01:00:00+00:00,0.032,71950
88,2015-02-08 01:00:00+00:00,0.031,77375
89,2015-02-09 01:00:00+00:00,0.03,64790
90,2015-02-10 01:00:00+00:00,0.032,56135
91,2015-02-11 01:00:00+00:00,0.03,59954
92,2015-02-12 01:00:00+00:00,0.03,64004
93,2015-02-13 01:00:00+00:00,0.03,70795
94,2015-02-14 01:00:00+00:00,0.03,83522
95,2015-02-15 01:00:00+00:00,0.03,78454
96,2015-02-16 01:00:00+00:00,0.03,67277
97,2015-02-17 01:00:00+00:00,0.03,62935
98,2015-02-18 01:00:00+00:00,0.03,59251
99,2015-02-19 01:00:00+00:00,0.03,66681
100,2015-02-20 01:00:00+00:00,0.03,74316
101,2015-02-21 01:00:00+00:00,0.03,77868
102,2015-02-22 01:00:00+00:00,0.03,78952
103,2015-02-23 01:00:00+00:00,0.03,64031
104,2015-02-24 01:00:00+00:00,0.03,65038
105,2015-02-25 01:00:00+00:00,0.03,66253
106,2015-02-26 01:00:00+00:00,0.03,68641
107,2015-02-27 01:00:00+00:00,0.03,79243
108,2015-02-28 01:00:00+00:00,0.03,81546
109,2015-03-01 01:00:00+00:00,0.03,86033
110,2015-03-02 01:00:00+00:00,0.03,67492
111,2015-03-03 01:00:00+00:00,0.03,65929
112,2015-03-04 01:00:00+00:00,0.03,65497
113,2015-03-05 01:00:00+00:00,0.03,72440
114,2015-03-06 01:00:00+00:00,0.03,75306
115,2015-03-07 01:00:00+00:00,0.03,81242
116,2015-03-08 01:00:00+00:00,0.03,74242
117,2015-03-09 01:00:00+00:00,0.03,63127
118,2015-03-10 01:00:00+00:00,0.03,58104
119,2015-03-11 01:00:00+00:00,0.03,57965
120,2015-03-12 01:00:00+00:00,0.03,57003
121,2015-03-13 01:00:00+00:00,0.03,61756
122,2015-03-14 01:00:00+00:00,0.03,74337
123,2015-03-15 01:00:00+00:00,0.03,79752
124,2015-03-16 01:00:00+00:00,0.03,60598
