,date,price,volume
60,2016-04-18 01:00:00+00:00,0.109,55813
61,2016-04-19 01:00:00+00:00,0.103,52790
62,2016-04-20 01:00:00+00:00,0.101,53705
63,2016-04-21 01:00:00+00:00,0.102,53161
64,2016-04-22 01:00:00+00:00,0.104,60716
65,2016-04-23 01:00:00+00:00,0.104,67027
66,2016-04-24 01:00:00+00:00,0.098,66871
67,2016-04-25 01:00:00+00:00,0.097,56907
68,2016-04-26 01:00:00+00:00,0.107,56543
69,2016-04-27 01:00:00+00:00,0.113,55771
70,2016-04-28 01:00:00+00:00,0.09,57856
71,2016-04-29 01:00:00+00:00,0.073,54188
72,2016-04-30 01:00:00+00:00,0.071,58698
73,2016-05-01 01:00:00+00:00,0.065,54456
74,2016-05-02 01:00:00+00:00,0.059,45378
75,2016-05-03 01:00:00+00:00,0.057,41670
76,2016-05-04 01:00:00+00:00,0.056,46128
77,2016-05-05 01:00:00+00:00,0.053,41008
78,2016-05-06 01:00:00+00:00,0.052,41819
79,2016-05-07 01:00:00+00:00,0.05,46801
80,2016-05-08 01:00:00+00:00,0.047,44460
81,2016-05-09 01:00:00+00:00,0.048,38662
82,2016-05-10 01:00:00+00:00,0.048,40955
83,2016-05-11 01:00:00+00:00,0.048,43168
84,2016-05-12 01:00:00+00:00,0.046,41926
85,2016-05-13 01:00:00+00:00,0.046,46669
86,2016-05-14 01:00:00+00:00,0.045,56396
87,2016-05-15 01:00:00+00:00,0.044,45963
88,2016-05-16 01:00:00+00:00,0.04,40192
89,2016-05-17 01:00:00+00:00,0.04,41607
90,2016-05-18 01:00:00+00:00,0.037,40868
91,2016-05-19 01:00:00+00:00,0.041,39389
92,2016-05-20 01:00:00+00:00,0.039,42638
93,2016-05-21 01:00:00+00:00,0.037,48839
94,2016-05-22 01:00:00+00:00,0.034,46391
95,2016-05-23 01:00:00+00:00,0.036,38122
96,2016-05-24 01:00:00+00:00,0.035,38360
97,2016-05-25 01:00:00+00:00,0.035,38211
98,2016-05-26 01:00:00+00:00,0.036,37590
99,2016-05-27 01:00:00+00:00,0.036,41685
100,2016-05-28 01:00:00+00:00,0.034,47392
101,2016-05-29 01:00:00+00:00,0.036,43530
102,2016-05-30 01:00:00+00:00,0.034,37336
103,2016-05-31 01:00:00+00:00,0.037,38837
104,2016-06-01 01:00:00+00:00,0.034,40449
105,2016-06-02 01:00:00+00:00,0.031,44484
106,2016-06-03 01:00:00+00:00,0.032,45335
107,2016-06-04 01:00:00+00:00,0.038,50608
108,2016-06-05 01:00:00+00:00,0.039,43879
109,2016-06-06 01:00:00+00:00,0.038,40776
110,2016-06-07 01:00:00+00:00,0.031,32644
111,2016-06-08 01:00:00+00:00,0.03,39746
112,2016-06-09 01:00:00+00:00,0.031,36069
113,2016-06-10 01:00:00+00:00,0.034,38399
114,2016-06-11 01:00:00+00:00,0.03,44938
115,2016-06-12 01:00:00+00:00,0.031,41627
116,2016-06-13 01:00:00+00:00,0.03,36265
117,2016-06-14 01:00:00+00:00,0.034,38033
118,2016-06-15 01:00:00+00:00,0.031,41649
119,2016-06-16 01:00:00+00:00,0.035,46773
120,2016-06-17 01:00:00+00:00,0.03,46129
121,2016-06-18 01:00:00+00:00,0.03,45642
122,2016-06-19 01:00:00+00:00,0.031,44369
123,2016-06-20 01:00:00+00:00,0.03,39736
124,2016-06-21 01:00:00+00:00,0.03,35649
125,2016-06-22 01:00:00+00:00,0.03,39537
126,2016-06-23 01:00:00+00:00,0.03,40402
127,2016-06-24 01:00:00+00:00,0.03,40698
128,2016-06-25 01:00:00+00:00,0.03,39320
129,2016-06-26 01:00:00+00:00,0.03,37914
130,2016-06-27 01:00:00+00:00,0.03,35524
131,2016-06-28 01:00:00+00:00,0.03,32278
132,2016-06-29 01:00:00+00:00,0.03,47817
133,2016-06-30 01:00:00+00:00,0.03,33442
134,2016-07-01 01:00:00+00:00,0.03,32090
135,2016-07-02 01:00:00+00:00,0.03,32956
136,2016-07-03 01:00:00+00:00,0.03,30963
137,2016-07-04 01:00:00+00:00,0.03,32046
138,2016-07-05 01:00:00+00:00,0.03,30905
139,2016-07-06 01:00:00+00:00,0.03,32182
140,2016-07-07 01:00:00+00:00,0.03,28579
141,2016-07-08 01:00:00+00:00,0.03,29476
142,2016-07-09 01:00:00+00:00,0.03,31148
143,2016-07-10 01:00:00+00:00,0.03,37232
144,2016-07-11 01:00:00+00:00,0.03,26322
145,2016-07-12 01:00:00+00:00,0.03,28667
146,2016-07-13 01:00:00+00:00,0.03,25125
147,2016-07-14 01:00:00+00:00,0.03,29626
148,2016-07-15 01:00:00+00:00,0.03,29193
149,2016-07-16 01:00:00+00:00,0.03,39746
150,2016-07-17 01:00:00+00:00,0.03,28262
151,2016-07-18 01:00:00+00:00,0.03,29318
152,2016-07-19 01:00:00+00:00,0.03,26916
153,2016-07-20 01:00:00+00:00,0.03,24302
154,2016-07-21 01:00:00+00:00,0.03,20730
155,2016-07-22 01:00:00+00:00,0.03,27354
156,2016-07-23 01:00:00+00:00,0.03,24802
157,2016-07-24 01:00:00+00:00,0.03,23014
158,2016-07-25 01:00:00+00:00,0.03,24108
159,2016-07-26 01:00:00+00:00,0.03,22605
160,2016-07-27 01:00:00+00:00,0.03,30104
161,2016-07-28 01:00:00+00:00,0.03,34053
162,2016-07-29 01:00:00+00:00,0.03,28284
163,2016-07-30 01:00:00+00:00,0.03,29450
164,2016-07-31 01:00:00+00:00,0.03,30425
165,2016-08-01 01:00:00+00:00,0.03,26226
166,2016-08-02 01:00:00+00:00,0.03,26955
167,2016-08-03 01:00:00+00:00,0.03,28400
168,2016-08-04 01:00:00+00:00,0.03,24395
169,2016-08-05 01:00:00+00:00,0.03,22309
170,2016-08-06 01:00:00+00:00,0.03,26076
171,2016-08-07 01:00:00+00:00,0.03,23568
172,2016-08-08 01:00:00+00:00,0.03,22261
173,2016-08-09 01:00:00+00:00,0.03,23456
174,2016-08-10 01:00:00+00:00,0.03,23309
175,2016-08-11 01:00:00+00:00,0.03,22619
176,2016-08-12 01:00:00+00:00,0.03,20286
177,2016-08-13 01:00:00+00:00,0.03,22399
178,2016-08-14 01:00:00+00:00,0.03,23140
179,2016-08-15 01:00:00+00:00,0.03,22506
180,2016-08-16 01:00:00+00:00,0.03,26075
181,2016-08-17 01:00:00+00:00,0.03,22821
182,2016-08-18 01:00:00+00:00,0.03,20655
183,2016-08-19 01:00:00+00:00,0.03,27100
184,2016-08-20 01:00:00+00:00,0.03,27591
185,2016-08-21 01:00:00+00:00,0.03,28164
186,2016-08-22 01:00:00+00:00,0.03,29720
