,date,price,volume
60,2020-05-30 01:00:00+00:00,0.45,66980
61,2020-05-31 01:00:00+00:00,0.45,61954
62,2020-06-01 01:00:00+00:00,0.417,60291
63,2020-06-02 01:00:00+00:00,0.409,56127
64,2020-06-03 01:00:00+00:00,0.416,58926
65,2020-06-04 01:00:00+00:00,0.411,56226
66,2020-06-05 01:00:00+00:00,0.409,59246
67,2020-06-06 01:00:00+00:00,0.422,58733
68,2020-06-07 01:00:00+00:00,0.417,54912
69,2020-06-08 01:00:00+00:00,0.391,52925
70,2020-06-09 01:00:00+00:00,0.379,54442
71,2020-06-10 01:00:00+00:00,0.383,56149
72,2020-06-11 01:00:00+00:00,0.383,56399
73,2020-06-12 01:00:00+00:00,0.39,55836
74,2020-06-13 01:00:00+00:00,0.387,52437
75,2020-06-14 01:00:00+00:00,0.372,54467
76,2020-06-15 01:00:00+00:00,0.337,52306
77,2020-06-16 01:00:00+00:00,0.318,52881
78,2020-06-17 01:00:00+00:00,0.305,53317
79,2020-06-18 01:00:00+00:00,0.302,57414
80,2020-06-19 01:00:00+00:00,0.323,56311
81,2020-06-20 01:00:00+00:00,0.34,57007
82,2020-06-21 01:00:00+00:00,0.336,51821
83,2020-06-22 01:00:00+00:00,0.324,53954
84,2020-06-23 01:00:00+00:00,0.325,51437
85,2020-06-24 01:00:00+00:00,0.324,51027
86,2020-06-25 01:00:00+00:00,0.318,52671
87,2020-06-26 01:00:00+00:00,0.289,62046
88,2020-06-27 01:00:00+00:00,0.3,56075
89,2020-06-28 01:00:00+00:00,0.291,52020
90,2020-06-29 01:00:00+00:00,0.284,57503
91,2020-06-30 01:00:00+00:00,0.273,57934
92,2020-07-01 01:00:00+00:00,0.291,55197
93,2020-07-02 01:00:00+00:00,0.29,55030
94,2020-07-03 01:00:00+00:00,0.293,55151
95,2020-07-04 01:00:00+00:00,0.292,52088
96,2020-07-05 01:00:00+00:00,0.276,49800
97,2020-07-06 01:00:00+00:00,0.263,49104
98,2020-07-07 01:00:00+00:00,0.254,49622
99,2020-07-08 01:00:00+00:00,0.237,50662
100,2020-07-09 01:00:00+00:00,0.246,50934
101,2020-07-10 01:00:00+00:00,0.263,50394
102,2020-07-11 01:00:00+00:00,0.263,47992
103,2020-07-12 01:00:00+00:00,0.258,47268
104,2020-07-13 01:00:00+00:00,0.25,47894
105,2020-07-14 01:00:00+00:00,0.249,50224
106,2020-07-15 01:00:00+00:00,0.254,48482
107,2020-07-16 01:00:00+00:00,0.25,49524
108,2020-07-17 01:00:00+00:00,0.26,51051
109,2020-07-18 01:00:00+00:00,0.26,50409
110,2020-07-19 01:00:00+00:00,0.26,50090
111,2020-07-20 01:00:00+00:00,0.257,49086
112,2020-07-21 01:00:00+00:00,0.252,48568
113,2020-07-22 01:00:00+00:00,0.251,49165
114,2020-07-23 01:00:00+00:00,0.251,50292
115,2020-07-24 01:00:00+00:00,0.252,50422
116,2020-07-25 01:00:00+00:00,0.254,49629
117,2020-07-26 01:00:00+00:00,0.257,52125
118,2020-07-27 01:00:00+00:00,0.258,49730
119,2020-07-28 01:00:00+00:00,0.257,51756
120,2020-07-29 01:00:00+00:00,0.248,47514
121,2020-07-30 01:00:00+00:00,0.244,47752
122,2020-07-31 01:00:00+00:00,0.248,50932
123,2020-08-01 01:00:00+00:00,0.249,48867
124,2020-08-02 01:00:00+00:00,0.243,49976
125,2020-08-03 01:00:00+00:00,0.237,50224
126,2020-08-04 01:00:00+00:00,0.228,48991
127,2020-08-05 01:00:00+00:00,0.218,46767
128,2020-08-06 01:00:00+00:00,0.221,47540
129,2020-08-07 01:00:00+00:00,0.193,65918
130,2020-08-08 01:00:00+00:00,0.179,58327
131,2020-08-09 01:00:00+00:00,0.167,58726
132,2020-08-10 01:00:00+00:00,0.156,55070
133,2020-08-11 01:00:00+00:00,0.135,51188
134,2020-08-12 01:00:00+00:00,0.119,48814
135,2020-08-13 01:00:00+00:00,0.117,53181
136,2020-08-14 01:00:00+00:00,0.143,58046
137,2020-08-15 01:00:00+00:00,0.155,54346
138,2020-08-16 01:00:00+00:00,0.148,51244
139,2020-08-17 01:00:00+00:00,0.13,46293
140,2020-08-18 01:00:00+00:00,0.118,48903
141,2020-08-19 01:00:00+00:00,0.113,48348
142,2020-08-20 01:00:00+00:00,0.107,49832
143,2020-08-21 01:00:00+00:00,0.108,52301
144,2020-08-22 01:00:00+00:00,0.11,50242
145,2020-08-23 01:00:00+00:00,0.107,49731
146,2020-08-24 01:00:00+00:00,0.099,49147
147,2020-08-25 01:00:00+00:00,0.094,52749
148,2020-08-26 01:00:00+00:00,0.088,48078
149,2020-08-27 01:00:00+00:00,0.085,51573
150,2020-08-28 01:00:00+00:00,0.089,49606
151,2020-08-29 01:00:00+00:00,0.091,51278
152,2020-08-30 01:00:00+00:00,0.089,51162
153,2020-08-31 01:00:00+00:00,0.083,49094
154,2020-09-01 01:00:00+00:00,0.079,42715
155,2020-09-02 01:00:00+00:00,0.074,42643
156,2020-09-03 01:00:00+00:00,0.069,42908
157,2020-09-04 01:00:00+00:00,0.069,49853
158,2020-09-05 01:00:00+00:00,0.064,47664
159,2020-09-06 01:00:00+00:00,0.057,47164
160,2020-09-07 01:00:00+00:00,0.053,41083
161,2020-09-08 01:00:00+00:00,0.046,42049
162,2020-09-09 01:00:00+00:00,0.044,43199
163,2020-09-10 01:00:00+00:00,0.047,41551
164,2020-09-11 01:00:00+00:00,0.046,46334
165,2020-09-12 01:00:00+00:00,0.048,52341
166,2020-09-13 01:00:00+00:00,0.047,48774
167,2020-09-14 01:00:00+00:00,0.043,46053
168,2020-09-15 01:00:00+00:00,0.046,45942
169,2020-09-16 01:00:00+00:00,0.044,44447
170,2020-09-17 01:00:00+00:00,0.042,44061
171,2020-09-18 01:00:00+00:00,0.041,50966
172,2020-09-19 01:00:00+00:00,0.04,52124
173,2020-09-20 01:00:00+00:00,0.037,47285
174,2020-09-21 01:00:00+00:00,0.037,42287
175,2020-09-22 01:00:00+00:00,0.034,39849
176,2020-09-23 01:00:00+00:00,0.033,40136
177,2020-09-24 01:00:00+00:00,0.033,45217
178,2020-09-25 01:00:00+00:00,0.031,53061
179,2020-09-26 01:00:00+00:00,0.033,54842
180,2020-09-27 01:00:00+00:00,0.032,52388
181,2020-09-28 01:00:00+00:00,0.032,43429
182,2020-09-29 01:00:00+00:00,0.031,44827
183,2020-09-30 01:00:00+00:00,0.031,44974
184,2020-10-01 01:00:00+00:00,0.032,58001
185,2020-10-02 01:00:00+00:00,0.031,55684
186,2020-10-03 01:00:00+00:00,0.032,53548
