,date,price,volume
60,2019-05-12 01:00:00+00:00,0.675,45133
61,2019-05-13 01:00:00+00:00,0.653,38186
62,2019-05-14 01:00:00+00:00,0.671,40749
63,2019-05-15 01:00:00+00:00,0.7,41873
64,2019-05-16 01:00:00+00:00,0.713,38301
65,2019-05-17 01:00:00+00:00,0.714,44850
66,2019-05-18 01:00:00+00:00,0.651,48218
67,2019-05-19 01:00:00+00:00,0.607,50110
68,2019-05-20 01:00:00+00:00,0.629,42477
69,2019-05-21 01:00:00+00:00,0.648,40521
70,2019-05-22 01:00:00+00:00,0.65,40195
71,2019-05-23 01:00:00+00:00,0.641,39024
72,2019-05-24 01:00:00+00:00,0.642,46637
73,2019-05-25 01:00:00+00:00,0.632,49304
74,2019-05-26 01:00:00+00:00,0.624,48727
75,2019-05-27 01:00:00+00:00,0.635,42346
76,2019-05-28 01:00:00+00:00,0.628,40598
77,2019-05-29 01:00:00+00:00,0.634,43158
78,2019-05-30 01:00:00+00:00,0.653,44981
79,2019-05-31 01:00:00+00:00,0.651,45025
80,2019-06-01 01:00:00+00:00,0.663,48476
81,2019-06-02 01:00:00+00:00,0.651,47477
82,2019-06-03 01:00:00+00:00,0.636,43472
83,2019-06-04 01:00:00+00:00,0.625,43273
84,2019-06-05 01:00:00+00:00,0.634,44192
85,2019-06-06 01:00:00+00:00,0.658,42925
86,2019-06-07 01:00:00+00:00,0.66,43357
87,2019-06-08 01:00:00+00:00,0.655,47146
88,2019-06-09 01:00:00+00:00,0.661,50187
89,2019-06-10 01:00:00+00:00,0.645,45979
90,2019-06-11 01:00:00+00:00,0.64,43640
91,2019-06-12 01:00:00+00:00,0.652,42358
92,2019-06-13 01:00:00+00:00,0.654,42805
93,2019-06-14 01:00:00+00:00,0.654,44451
94,2019-06-15 01:00:00+00:00,0.655,49059
95,2019-06-16 01:00:00+00:00,0.64,47868
96,2019-06-17 01:00:00+00:00,0.628,44486
97,2019-06-18 01:00:00+00:00,0.605,41806
98,2019-06-19 01:00:00+00:00,0.585,42980
99,2019-06-20 01:00:00+00:00,0.548,49903
100,2019-06-21 01:00:00+00:00,0.549,46423
101,2019-06-22 01:00:00+00:00,0.563,44363
102,2019-06-23 01:00:00+00:00,0.56,45846
103,2019-06-24 01:00:00+00:00,0.514,42706
104,2019-06-25 01:00:00+00:00,0.487,45988
105,2019-06-26 01:00:00+00:00,0.435,45117
106,2019-06-27 01:00:00+00:00,0.425,45951
107,2019-06-28 01:00:00+00:00,0.478,48945
108,2019-06-29 01:00:00+00:00,0.518,47399
109,2019-06-30 01:00:00+00:00,0.526,48277
110,2019-07-01 01:00:00+00:00,0.495,44546
111,2019-07-02 01:00:00+00:00,0.495,44336
112,2019-07-03 01:00:00+00:00,0.484,43112
113,2019-07-04 01:00:00+00:00,0.497,45728
114,2019-07-05 01:00:00+00:00,0.514,43745
115,2019-07-06 01:00:00+00:00,0.524,44155
116,2019-07-07 01:00:00+00:00,0.523,45375
117,2019-07-08 01:00:00+00:00,0.516,44977
118,2019-07-09 01:00:00+00:00,0.516,43076
119,2019-07-10 01:00:00+00:00,0.511,44540
120,2019-07-11 01:00:00+00:00,0.521,48067
121,2019-07-12 01:00:00+00:00,0.53,43185
122,2019-07-13 01:00:00+00:00,0.525,42247
123,2019-07-14 01:00:00+00:00,0.507,43226
124,2019-07-15 01:00:00+00:00,0.48,43843
125,2019-07-16 01:00:00+00:00,0.477,44074
126,2019-07-17 01:00:00+00:00,0.46,40294
127,2019-07-18 01:00:00+00:00,0.441,40540
128,2019-07-19 01:00:00+00:00,0.448,45342
129,2019-07-20 01:00:00+00:00,0.452,41621
130,2019-07-21 01:00:00+00:00,0.452,45473
131,2019-07-22 01:00:00+00:00,0.441,42842
132,2019-07-23 01:00:00+00:00,0.431,43475
133,2019-07-24 01:00:00+00:00,0.422,42080
134,2019-07-25 01:00:00+00:00,0.42,42789
135,2019-07-26 01:00:00+00:00,0.425,43573
136,2019-07-27 01:00:00+00:00,0.436,45628
137,2019-07-28 01:00:00+00:00,0.429,43905
138,2019-07-29 01:00:00+00:00,0.409,43267
139,2019-07-30 01:00:00+00:00,0.403,46969
140,2019-07-31 01:00:00+00:00,0.42,49021
141,2019-08-01 01:00:00+00:00,0.435,49619
142,2019-08-02 01:00:00+00:00,0.455,48649
143,2019-08-03 01:00:00+00:00,0.465,49195
144,2019-08-04 01:00:00+00:00,0.467,46526
145,2019-08-05 01:00:00+00:00,0.464,45621
146,2019-08-06 01:00:00+00:00,0.468,47081
147,2019-08-07 01:00:00+00:00,0.477,44760
148,2019-08-08 01:00:00+00:00,0.479,48850
149,2019-08-09 01:00:00+00:00,0.505,51675
150,2019-08-10 01:00:00+00:00,0.522,52570
151,2019-08-11 01:00:00+00:00,0.532,53848
152,2019-08-12 01:00:00+00:00,0.527,50229
153,2019-08-13 01:00:00+00:00,0.548,55044
154,2019-08-14 01:00:00+00:00,0.534,48996
155,2019-08-15 01:00:00+00:00,0.522,49376
156,2019-08-16 01:00:00+00:00,0.538,50591
157,2019-08-17 01:00:00+00:00,0.533,50869
158,2019-08-18 01:00:00+00:00,0.532,53697
159,2019-08-19 01:00:00+00:00,0.518,46784
160,2019-08-20 01:00:00+00:00,0.441,44814
161,2019-08-21 01:00:00+00:00,0.443,47899
162,2019-08-22 01:00:00+00:00,0.451,47045
163,2019-08-23 01:00:00+00:00,0.469,52320
164,2019-08-24 01:00:00+00:00,0.49,50234
165,2019-08-25 01:00:00+00:00,0.471,50391
166,2019-08-26 01:00:00+00:00,0.466,49090
167,2019-08-27 01:00:00+00:00,0.451,48200
168,2019-08-28 01:00:00+00:00,0.449,40846
169,2019-08-29 01:00:00+00:00,0.44,52777
170,2019-08-30 01:00:00+00:00,0.46,55215
171,2019-08-31 01:00:00+00:00,0.475,55720
172,2019-09-01 01:00:00+00:00,0.467,51672
173,2019-09-02 01:00:00+00:00,0.472,49532
174,2019-09-03 01:00:00+00:00,0.486,44984
175,2019-09-04 01:00:00+00:00,0.478,44167
176,2019-09-05 01:00:00+00:00,0.485,43977
177,2019-09-06 01:00:00+00:00,0.484,48359
178,2019-09-07 01:00:00+00:00,0.47,57587
179,2019-09-08 01:00:00+00:00,0.423,60024
180,2019-09-09 01:00:00+00:00,0.412,48749
181,2019-09-10 01:00:00+00:00,0.407,47154
182,2019-09-11 01:00:00+00:00,0.401,46948
183,2019-09-12 01:00:00+00:00,0.407,47698
184,2019-09-13 01:00:00+00:00,0.421,59807
185,2019-09-14 01:00:00+00:00,0.409,58128
186,2019-09-15 01:00:00+00:00,0.368,54989
187,2019-09-16 01:00:00+00:00,0.357,45109
188,2019-09-17 01:00:00+00:00,0.351,46192
189,2019-09-18 01:00:00+00:00,0.343,47295
190,2019-09-19 01:00:00+00:00,0.334,44743
191,2019-09-20 01:00:00+00:00,0.314,52720
192,2019-09-21 01:00:00+00:00,0.298,59360
193,2019-09-22 01:00:00+00:00,0.289,56466
194,2019-09-23 01:00:00+00:00,0.294,46046
195,2019-09-24 01:00:00+00:00,0.304,46290
196,2019-09-25 01:00:00+00:00,0.314,47267
197,2019-09-26 01:00:00+00:00,0.324,45393
198,2019-09-27 01:00:00+00:00,0.345,55510
199,2019-09-28 01:00:00+00:00,0.349,58140
200,2019-09-29 01:00:00+00:00,0.334,57429
201,2019-09-30 01:00:00+00:00,0.342,49338
202,2019-10-01 01:00:00+00:00,0.358,52108
203,2019-10-02 01:00:00+00:00,0.368,49707
204,2019-10-03 01:00:00+00:00,0.38,55722
205,2019-10-04 01:00:00+00:00,0.378,54622
206,2019-10-05 01:00:00+00:00,0.355,63867
207,2019-10-06 01:00:00+00:00,0.335,61651
208,2019-10-07 01:00:00+00:00,0.348,52280
209,2019-10-08 01:00:00+00:00,0.358,49573
210,2019-10-09 01:00:00+00:00,0.357,47380
211,2019-10-10 01:00:00+00:00,0.361,49749
212,2019-10-11 01:00:00+00:00,0.361,56242
213,2019-10-12 01:00:00+00:00,0.358,64648
214,2019-10-13 01:00:00+00:00,0.345,61172
215,2019-10-14 01:00:00+00:00,0.334,47928
216,2019-10-15 01:00:00+00:00,0.325,44027
217,2019-10-16 01:00:00+00:00,0.328,46857
218,2019-10-17 01:00:00+00:00,0.324,44997
219,2019-10-18 01:00:00+00:00,0.323,55328
220,2019-10-19 01:00:00+00:00,0.29,54972
221,2019-10-20 01:00:00+00:00,0.286,47394
222,2019-10-21 01:00:00+00:00,0.287,34534
