,date,price,volume
60,2016-02-07 01:00:00+00:00,0.031,60725
61,2016-02-08 01:00:00+00:00,0.031,49227
62,2016-02-09 01:00:00+00:00,0.031,46552
63,2016-02-10 01:00:00+00:00,0.031,53760
64,2016-02-11 01:00:00+00:00,0.032,50989
65,2016-02-12 01:00:00+00:00,0.03,60246
66,2016-02-13 01:00:00+00:00,0.03,68418
67,2016-02-14 01:00:00+00:00,0.03,69554
68,2016-02-15 01:00:00+00:00,0.03,59817
69,2016-02-16 01:00:00+00:00,0.03,55499
70,2016-02-17 01:00:00+00:00,0.03,59129
71,2016-02-18 01:00:00+00:00,0.03,61814
72,2016-02-19 01:00:00+00:00,0.03,53662
73,2016-02-20 01:00:00+00:00,0.03,54860
74,2016-02-21 01:00:00+00:00,0.03,62421
75,2016-02-22 01:00:00+00:00,0.03,46445
76,2016-02-23 01:00:00+00:00,0.03,44518
77,2016-02-24 01:00:00+00:00,0.03,43167
78,2016-02-25 01:00:00+00:00,0.03,49059
79,2016-02-26 01:00:00+00:00,0.03,52280
80,2016-02-27 01:00:00+00:00,0.03,54094
81,2016-02-28 01:00:00+00:00,0.03,43042
82,2016-02-29 01:00:00+00:00,0.03,46343
83,2016-03-01 01:00:00+00:00,0.03,44683
84,2016-03-02 01:00:00+00:00,0.03,42279
85,2016-03-03 01:00:00+00:00,0.03,46019
86,2016-03-04 01:00:00+00:00,0.03,44328
87,2016-03-05 01:00:00+00:00,0.03,53700
88,2016-03-06 01:00:00+00:00,0.03,48974
89,2016-03-07 01:00:00+00:00,0.03,42756
90,2016-03-08 01:00:00+00:00,0.03,40288
91,2016-03-09 01:00:00+00:00,0.03,37374
92,2016-03-10 01:00:00+00:00,0.03,26231
93,2016-03-11 01:00:00+00:00,0.03,28182
94,2016-03-12 01:00:00+00:00,0.03,30652
95,2016-03-13 01:00:00+00:00,0.03,35210
96,2016-03-14 01:00:00+00:00,0.03,31278
97,2016-03-15 01:00:00+00:00,0.03,32040
98,2016-03-16 01:00:00+00:00,0.03,29971
99,2016-03-17 01:00:00+00:00,0.03,29170
100,2016-03-18 01:00:00+00:00,0.03,34289
101,2016-03-19 01:00:00+00:00,0.03,39258
102,2016-03-20 01:00:00+00:00,0.03,34695
103,2016-03-21 01:00:00+00:00,0.03,27321
104,2016-03-22 01:00:00+00:00,0.03,28857
105,2016-03-23 01:00:00+00:00,0.03,29420
106,2016-03-24 01:00:00+00:00,0.03,31770
107,2016-03-25 01:00:00+00:00,0.03,38267
108,2016-03-26 01:00:00+00:00,0.03,37371
109,2016-03-27 01:00:00+00:00,0.03,42247
110,2016-03-28 01:00:00+00:00,0.03,34370
111,2016-03-29 01:00:00+00:00,0.03,35799
112,2016-03-30 01:00:00+00:00,0.03,31766
113,2016-03-31 01:00:00+00:00,0.03,37411
114,2016-04-01 01:00:00+00:00,0.03,46624
115,2016-04-02 01:00:00+00:00,0.03,43918
116,2016-04-03 01:00:00+00:00,0.03,54250
117,2016-04-04 01:00:00+00:00,0.03,38789
118,2016-04-05 01:00:00+00:00,0.03,38746
119,2016-04-06 01:00:00+00:00,0.03,35844
120,2016-04-07 01:00:00+00:00,0.03,38631
121,2016-04-08 01:00:00+00:00,0.03,42345
122,2016-04-09 01:00:00+00:00,0.03,48076
123,2016-04-10 01:00:00+00:00,0.03,48841
124,2016-04-11 01:00:00+00:00,0.03,42290
125,2016-04-12 01:00:00+00:00,0.03,34277
126,2016-04-13 01:00:00+00:00,0.03,37753
127,2016-04-14 01:00:00+00:00,0.03,37291
128,2016-04-15 01:00:00+00:00,0.03,37939
129,2016-04-16 01:00:00+00:00,0.03,45398
130,2016-04-17 01:00:00+00:00,0.03,41659
131,2016-04-18 01:00:00+00:00,0.03,38007
132,2016-04-19 01:00:00+00:00,0.03,39375
133,2016-04-20 01:00:00+00:00,0.03,36139
134,2016-04-21 01:00:00+00:00,0.03,38250
135,2016-04-22 01:00:00+00:00,0.03,39899
136,2016-04-23 01:00:00+00:00,0.03,39882
137,2016-04-24 01:00:00+00:00,0.03,44066
138,2016-04-25 01:00:00+00:00,0.03,38276
139,2016-04-26 01:00:00+00:00,0.03,33768
140,2016-04-27 01:00:00+00:00,0.03,39185
141,2016-04-28 01:00:00+00:00,0.03,42692
142,2016-04-29 01:00:00+00:00,0.03,51231
143,2016-04-30 01:00:00+00:00,0.03,57430
144,2016-05-01 01:00:00+00:00,0.03,50237
145,2016-05-02 01:00:00+00:00,0.03,51521
146,2016-05-03 01:00:00+00:00,0.03,48916
147,2016-05-04 01:00:00+00:00,0.03,45001
148,2016-05-05 01:00:00+00:00,0.03,46446
149,2016-05-06 01:00:00+00:00,0.03,54942
150,2016-05-07 01:00:00+00:00,0.03,53333
151,2016-05-08 01:00:00+00:00,0.03,52489
152,2016-05-09 01:00:00+00:00,0.03,47518
153,2016-05-10 01:00:00+00:00,0.03,46150
154,2016-05-11 01:00:00+00:00,0.03,41278
155,2016-05-12 01:00:00+00:00,0.03,44830
156,2016-05-13 01:00:00+00:00,0.03,44551
157,2016-05-14 01:00:00+00:00,0.03,52181
158,2016-05-15 01:00:00+00:00,0.03,51186
159,2016-05-16 01:00:00+00:00,0.03,41874
160,2016-05-17 01:00:00+00:00,0.03,38535
161,2016-05-18 01:00:00+00:00,0.03,40150
162,2016-05-19 01:00:00+00:00,0.03,36324
163,2016-05-20 01:00:00+00:00,0.03,39552
164,2016-05-21 01:00:00+00:00,0.03,42668
165,2016-05-22 01:00:00+00:00,0.03,44653
166,2016-05-23 01:00:00+00:00,0.03,34207
167,2016-05-24 01:00:00+00:00,0.03,33729
168,2016-05-25 01:00:00+00:00,0.03,37785
169,2016-05-26 01:00:00+00:00,0.03,36998
170,2016-05-27 01:00:00+00:00,0.03,34611
171,2016-05-28 01:00:00+00:00,0.03,40235
172,2016-05-29 01:00:00+00:00,0.03,41769
173,2016-05-30 01:00:00+00:00,0.03,39021
174,2016-05-31 01:00:00+00:00,0.03,37684
175,2016-06-01 01:00:00+00:00,0.03,39435
176,2016-06-02 01:00:00+00:00,0.03,36506
177,2016-06-03 01:00:00+00:00,0.03,39827
178,2016-06-04 01:00:00+00:00,0.03,38043
179,2016-06-05 01:00:00+00:00,0.03,42711
180,2016-06-06 01:00:00+00:00,0.03,40570
181,2016-06-07 01:00:00+00:00,0.03,32476
182,2016-06-08 01:00:00+00:00,0.03,37759
183,2016-06-09 01:00:00+00:00,0.03,34833
184,2016-06-10 01:00:00+00:00,0.03,36039
185,2016-06-11 01:00:00+00:00,0.03,39048
186,2016-06-12 01:00:00+00:00,0.03,39151
187,2016-06-13 01:00:00+00:00,0.03,37682
188,2016-06-14 01:00:00+00:00,0.03,40682
189,2016-06-15 01:00:00+00:00,0.03,34427
190,2016-06-16 01:00:00+00:00,0.03,155457
191,2016-06-17 01:00:00+00:00,0.03,45535
192,2016-06-18 01:00:00+00:00,0.03,41257
193,2016-06-19 01:00:00+00:00,0.03,39679
194,2016-06-20 01:00:00+00:00,0.03,37468
195,2016-06-21 01:00:00+00:00,0.03,34680
196,2016-06-22 01:00:00+00:00,0.03,34731
197,2016-06-23 01:00:00+00:00,0.03,29616
198,2016-06-24 01:00:00+00:00,0.03,34525
199,2016-06-25 01:00:00+00:00,0.03,28885
200,2016-06-26 01:00:00+00:00,0.03,29895
201,2016-06-27 01:00:00+00:00,0.03,27693
202,2016-06-28 01:00:00+00:00,0.03,27824
203,2016-06-29 01:00:00+00:00,0.03,24792
204,2016-06-30 01:00:00+00:00,0.03,23182
205,2016-07-01 01:00:00+00:00,0.03,22799
206,2016-07-02 01:00:00+00:00,0.03,22427
207,2016-07-03 01:00:00+00:00,0.03,24134
208,2016-07-04 01:00:00+00:00,0.03,29268
209,2016-07-05 01:00:00+00:00,0.03,21112
210,2016-07-06 01:00:00+00:00,0.03,23191
211,2016-07-07 01:00:00+00:00,0.03,23906
212,2016-07-08 01:00:00+00:00,0.03,21651
