,date,price,volume
60,2015-11-17 01:00:00+00:00,0.155,82280
61,2015-11-18 01:00:00+00:00,0.144,80140
62,2015-11-19 01:00:00+00:00,0.12,81042
63,2015-11-20 01:00:00+00:00,0.118,101128
64,2015-11-21 01:00:00+00:00,0.113,107265
65,2015-11-22 01:00:00+00:00,0.078,72719
66,2015-11-23 01:00:00+00:00,0.062,76927
67,2015-11-24 01:00:00+00:00,0.099,102775
68,2015-11-25 01:00:00+00:00,0.11,105299
69,2015-11-26 01:00:00+00:00,0.117,100647
70,2015-11-27 01:00:00+00:00,0.113,105025
71,2015-11-28 01:00:00+00:00,0.095,112556
72,2015-11-29 01:00:00+00:00,0.09,111232
73,2015-11-30 01:00:00+00:00,0.095,96178
74,2015-12-01 01:00:00+00:00,0.099,92583
75,2015-12-02 01:00:00+00:00,0.102,87688
76,2015-12-03 01:00:00+00:00,0.106,91029
77,2015-12-04 01:00:00+00:00,0.108,107164
78,2015-12-05 01:00:00+00:00,0.108,116980
79,2015-12-06 01:00:00+00:00,0.103,115890
80,2015-12-07 01:00:00+00:00,0.105,92843
81,2015-12-08 01:00:00+00:00,0.104,90348
82,2015-12-09 01:00:00+00:00,0.076,86718
83,2015-12-10 01:00:00+00:00,0.056,80303
84,2015-12-11 01:00:00+00:00,0.058,88599
85,2015-12-12 01:00:00+00:00,0.053,98532
86,2015-12-13 01:00:00+00:00,0.044,90980
87,2015-12-14 01:00:00+00:00,0.047,76341
88,2015-12-15 01:00:00+00:00,0.047,69925
89,2015-12-16 01:00:00+00:00,0.047,73120
90,2015-12-17 01:00:00+00:00,0.046,64145
91,2015-12-18 01:00:00+00:00,0.044,88498
92,2015-12-19 01:00:00+00:00,0.038,98371
93,2015-12-20 01:00:00+00:00,0.036,85341
94,2015-12-21 01:00:00+00:00,0.039,81145
95,2015-12-22 01:00:00+00:00,0.038,87487
96,2015-12-23 01:00:00+00:00,0.036,99849
97,2015-12-24 01:00:00+00:00,0.039,102498
98,2015-12-25 01:00:00+00:00,0.044,99384
99,2015-12-26 01:00:00+00:00,0.044,101498
100,2015-12-27 01:00:00+00:00,0.041,106781
101,2015-12-28 01:00:00+00:00,0.04,106099
102,2015-12-29 01:00:00+00:00,0.038,92466
103,2015-12-30 01:00:00+00:00,0.037,97297
104,2015-12-31 01:00:00+00:00,0.037,95155
105,2016-01-01 01:00:00+00:00,0.037,94047
106,2016-01-02 01:00:00+00:00,0.032,109097
107,2016-01-03 01:00:00+00:00,0.031,105139
108,2016-01-04 01:00:00+00:00,0.034,101317
109,2016-01-05 01:00:00+00:00,0.032,94755
110,2016-01-06 01:00:00+00:00,0.032,106991
111,2016-01-07 01:00:00+00:00,0.033,89101
112,2016-01-08 01:00:00+00:00,0.033,94545
113,2016-01-09 01:00:00+00:00,0.032,98065
114,2016-01-10 01:00:00+00:00,0.033,84200
115,2016-01-11 01:00:00+00:00,0.035,79677
116,2016-01-12 01:00:00+00:00,0.032,79415
117,2016-01-13 01:00:00+00:00,0.031,72687
118,2016-01-14 01:00:00+00:00,0.03,81901
119,2016-01-15 01:00:00+00:00,0.03,96413
120,2016-01-16 01:00:00+00:00,0.033,99568
121,2016-01-17 01:00:00+00:00,0.031,89481
122,2016-01-18 01:00:00+00:00,0.033,72551
123,2016-01-19 01:00:00+00:00,0.03,72997
124,2016-01-20 01:00:00+00:00,0.03,74426
125,2016-01-21 01:00:00+00:00,0.03,72135
126,2016-01-22 01:00:00+00:00,0.03,86769
127,2016-01-23 01:00:00+00:00,0.033,82824
128,2016-01-24 01:00:00+00:00,0.032,78453
129,2016-01-25 01:00:00+00:00,0.034,77791
130,2016-01-26 01:00:00+00:00,0.036,73364
131,2016-01-27 01:00:00+00:00,0.033,78999
132,2016-01-28 01:00:00+00:00,0.033,71431
133,2016-01-29 01:00:00+00:00,0.034,77935
134,2016-01-30 01:00:00+00:00,0.031,98025
135,2016-01-31 01:00:00+00:00,0.035,80495
136,2016-02-01 01:00:00+00:00,0.033,66783
137,2016-02-02 01:00:00+00:00,0.032,71641
138,2016-02-03 01:00:00+00:00,0.031,71202
139,2016-02-04 01:00:00+00:00,0.03,74964
140,2016-02-05 01:00:00+00:00,0.03,85794
141,2016-02-06 01:00:00+00:00,0.032,94403
142,2016-02-07 01:00:00+00:00,0.03,83674
143,2016-02-08 01:00:00+00:00,0.031,73367
144,2016-02-09 01:00:00+00:00,0.031,60898
145,2016-02-10 01:00:00+00:00,0.031,60809
146,2016-02-11 01:00:00+00:00,0.03,68244
147,2016-02-12 01:00:00+00:00,0.032,69590
148,2016-02-13 01:00:00+00:00,0.032,72458
149,2016-02-14 01:00:00+00:00,0.031,69047
150,2016-02-15 01:00:00+00:00,0.03,67297
151,2016-02-16 01:00:00+00:00,0.03,65468
152,2016-02-17 01:00:00+00:00,0.03,65668
153,2016-02-18 01:00:00+00:00,0.03,88308
154,2016-02-19 01:00:00+00:00,0.03,88547
155,2016-02-20 01:00:00+00:00,0.03,91475
156,2016-02-21 01:00:00+00:00,0.03,94973
157,2016-02-22 01:00:00+00:00,0.03,65122
158,2016-02-23 01:00:00+00:00,0.03,63661
159,2016-02-24 01:00:00+00:00,0.03,69345
160,2016-02-25 01:00:00+00:00,0.03,69546
161,2016-02-26 01:00:00+00:00,0.03,76162
162,2016-02-27 01:00:00+00:00,0.03,84906
163,2016-02-28 01:00:00+00:00,0.03,61242
164,2016-02-29 01:00:00+00:00,0.03,69983
165,2016-03-01 01:00:00+00:00,0.03,73153
166,2016-03-02 01:00:00+00:00,0.03,60170
167,2016-03-03 01:00:00+00:00,0.03,63696
168,2016-03-04 01:00:00+00:00,0.03,70703
169,2016-03-05 01:00:00+00:00,0.03,76307
170,2016-03-06 01:00:00+00:00,0.03,78044
171,2016-03-07 01:00:00+00:00,0.03,59249
172,2016-03-08 01:00:00+00:00,0.03,49668
173,2016-03-09 01:00:00+00:00,0.03,49569
174,2016-03-10 01:00:00+00:00,0.033,36449
175,2016-03-11 01:00:00+00:00,0.033,40967
176,2016-03-12 01:00:00+00:00,0.032,46917
177,2016-03-13 01:00:00+00:00,0.032,44304
178,2016-03-14 01:00:00+00:00,0.033,42267
179,2016-03-15 01:00:00+00:00,0.032,43511
180,2016-03-16 01:00:00+00:00,0.038,45133
181,2016-03-17 01:00:00+00:00,0.038,37947
182,2016-03-18 01:00:00+00:00,0.036,40690
