,date,price,volume
60,2020-01-17 01:00:00+00:00,0.636,37036
61,2020-01-18 01:00:00+00:00,0.658,35200
62,2020-01-19 01:00:00+00:00,0.672,32717
63,2020-01-20 01:00:00+00:00,0.662,26007
64,2020-01-21 01:00:00+00:00,0.645,30013
65,2020-01-22 01:00:00+00:00,0.587,63342
66,2020-01-23 01:00:00+00:00,0.589,45083
67,2020-01-24 01:00:00+00:00,0.604,43953
68,2020-01-25 01:00:00+00:00,0.614,41719
69,2020-01-26 01:00:00+00:00,0.612,35149
70,2020-01-27 01:00:00+00:00,0.608,27683
71,2020-01-28 01:00:00+00:00,0.616,28214
72,2020-01-29 01:00:00+00:00,0.63,34565
73,2020-01-30 01:00:00+00:00,0.648,26552
74,2020-01-31 01:00:00+00:00,0.682,33772
75,2020-02-01 01:00:00+00:00,0.707,36756
76,2020-02-02 01:00:00+00:00,0.708,31830
77,2020-02-03 01:00:00+00:00,0.727,28035
78,2020-02-04 01:00:00+00:00,0.765,32733
79,2020-02-05 01:00:00+00:00,0.768,33192
80,2020-02-06 01:00:00+00:00,0.767,30233
81,2020-02-07 01:00:00+00:00,0.658,64651
82,2020-02-08 01:00:00+00:00,0.643,61714
83,2020-02-09 01:00:00+00:00,0.62,54015
84,2020-02-10 01:00:00+00:00,0.606,43302
85,2020-02-11 01:00:00+00:00,0.593,45464
86,2020-02-12 01:00:00+00:00,0.585,84103
87,2020-02-13 01:00:00+00:00,0.619,61945
88,2020-02-14 01:00:00+00:00,0.662,55876
89,2020-02-15 01:00:00+00:00,0.666,58739
90,2020-02-16 01:00:00+00:00,0.634,52680
91,2020-02-17 01:00:00+00:00,0.625,42503
92,2020-02-18 01:00:00+00:00,0.61,39526
93,2020-02-19 01:00:00+00:00,0.603,57605
94,2020-02-20 01:00:00+00:00,0.595,46761
95,2020-02-21 01:00:00+00:00,0.603,46852
96,2020-02-22 01:00:00+00:00,0.6,48153
97,2020-02-23 01:00:00+00:00,0.596,48898
98,2020-02-24 01:00:00+00:00,0.604,46030
