,date,price,volume
60,2021-07-02 01:00:00+00:00,0.844,64575
61,2021-07-03 01:00:00+00:00,0.823,61031
62,2021-07-04 01:00:00+00:00,0.825,62481
63,2021-07-05 01:00:00+00:00,0.813,63768
64,2021-07-06 01:00:00+00:00,0.807,57423
65,2021-07-07 01:00:00+00:00,0.775,59320
66,2021-07-08 01:00:00+00:00,0.739,61292
67,2021-07-09 01:00:00+00:00,0.734,57598
68,2021-07-10 01:00:00+00:00,0.736,55128
69,2021-07-11 01:00:00+00:00,0.719,53929
70,2021-07-12 01:00:00+00:00,0.68,58326
71,2021-07-13 01:00:00+00:00,0.66,55021
72,2021-07-14 01:00:00+00:00,0.63,58900
73,2021-07-15 01:00:00+00:00,0.607,58789
74,2021-07-16 01:00:00+00:00,0.592,58889
75,2021-07-17 01:00:00+00:00,0.627,58960
76,2021-07-18 01:00:00+00:00,0.633,60777
77,2021-07-19 01:00:00+00:00,0.642,60560
78,2021-07-20 01:00:00+00:00,0.661,59668
79,2021-07-21 01:00:00+00:00,0.659,58243
80,2021-07-22 01:00:00+00:00,0.662,55779
81,2021-07-23 01:00:00+00:00,0.683,58027
82,2021-07-24 01:00:00+00:00,0.698,59547
83,2021-07-25 01:00:00+00:00,0.703,60518
84,2021-07-26 01:00:00+00:00,0.694,54384
85,2021-07-27 01:00:00+00:00,0.719,33758
86,2021-07-28 01:00:00+00:00,0.703,57276
87,2021-07-29 01:00:00+00:00,0.651,61263
88,2021-07-30 01:00:00+00:00,0.636,63420
89,2021-07-31 01:00:00+00:00,0.679,59001
90,2021-08-01 01:00:00+00:00,0.684,61887
91,2021-08-02 01:00:00+00:00,0.66,60006
92,2021-08-03 01:00:00+00:00,0.664,58560
93,2021-08-04 01:00:00+00:00,0.66,53791
94,2021-08-05 01:00:00+00:00,0.676,44616
95,2021-08-06 01:00:00+00:00,0.643,59382
96,2021-08-07 01:00:00+00:00,0.643,58982
97,2021-08-08 01:00:00+00:00,0.631,55399
98,2021-08-09 01:00:00+00:00,0.61,60790
99,2021-08-10 01:00:00+00:00,0.604,57696
100,2021-08-11 01:00:00+00:00,0.601,57479
101,2021-08-12 01:00:00+00:00,0.594,51899
102,2021-08-13 01:00:00+00:00,0.581,58405
103,2021-08-14 01:00:00+00:00,0.568,57706
104,2021-08-15 01:00:00+00:00,0.554,57531
105,2021-08-16 01:00:00+00:00,0.527,57302
106,2021-08-17 01:00:00+00:00,0.509,59533
107,2021-08-18 01:00:00+00:00,0.505,56135
108,2021-08-19 01:00:00+00:00,0.502,60519
109,2021-08-20 01:00:00+00:00,0.506,57611
110,2021-08-21 01:00:00+00:00,0.527,57769
111,2021-08-22 01:00:00+00:00,0.508,55470
112,2021-08-23 01:00:00+00:00,0.479,57733
113,2021-08-24 01:00:00+00:00,0.456,59465
114,2021-08-25 01:00:00+00:00,0.467,57502
115,2021-08-26 01:00:00+00:00,0.461,57217
116,2021-08-27 01:00:00+00:00,0.466,61441
117,2021-08-28 01:00:00+00:00,0.471,60410
118,2021-08-29 01:00:00+00:00,0.483,61021
119,2021-08-30 01:00:00+00:00,0.472,58724
120,2021-08-31 01:00:00+00:00,0.491,64322
121,2021-09-01 01:00:00+00:00,0.499,56546
122,2021-09-02 01:00:00+00:00,0.498,55451
123,2021-09-03 01:00:00+00:00,0.504,58856
124,2021-09-04 01:00:00+00:00,0.503,66458
125,2021-09-05 01:00:00+00:00,0.493,60671
126,2021-09-06 01:00:00+00:00,0.492,54195
127,2021-09-07 01:00:00+00:00,0.487,55253
128,2021-09-08 01:00:00+00:00,0.487,56512
129,2021-09-09 01:00:00+00:00,0.487,55585
130,2021-09-10 01:00:00+00:00,0.494,66638
131,2021-09-11 01:00:00+00:00,0.5,70843
