,date,price,volume
60,2017-11-13 01:00:00+00:00,0.232,34721
61,2017-11-14 01:00:00+00:00,0.226,34865
62,2017-11-15 01:00:00+00:00,0.228,35075
63,2017-11-16 01:00:00+00:00,0.222,33777
64,2017-11-17 01:00:00+00:00,0.209,40681
65,2017-11-18 01:00:00+00:00,0.182,41620
66,2017-11-19 01:00:00+00:00,0.163,39783
67,2017-11-20 01:00:00+00:00,0.161,34724
68,2017-11-21 01:00:00+00:00,0.176,33786
69,2017-11-22 01:00:00+00:00,0.185,35496
70,2017-11-23 01:00:00+00:00,0.146,36334
71,2017-11-24 01:00:00+00:00,0.149,41939
72,2017-11-25 01:00:00+00:00,0.145,41820
73,2017-11-26 01:00:00+00:00,0.126,39582
74,2017-11-27 01:00:00+00:00,0.123,33730
75,2017-11-28 01:00:00+00:00,0.133,33838
76,2017-11-29 01:00:00+00:00,0.145,32820
77,2017-11-30 01:00:00+00:00,0.171,41068
78,2017-12-01 01:00:00+00:00,0.196,42061
79,2017-12-02 01:00:00+00:00,0.189,45011
80,2017-12-03 01:00:00+00:00,0.172,42460
81,2017-12-04 01:00:00+00:00,0.172,38473
82,2017-12-05 01:00:00+00:00,0.174,35954
83,2017-12-06 01:00:00+00:00,0.174,34880
84,2017-12-07 01:00:00+00:00,0.173,33575
85,2017-12-08 01:00:00+00:00,0.172,39481
86,2017-12-09 01:00:00+00:00,0.164,42774
87,2017-12-10 01:00:00+00:00,0.15,40666
88,2017-12-11 01:00:00+00:00,0.144,37032
89,2017-12-12 01:00:00+00:00,0.146,34143
90,2017-12-13 01:00:00+00:00,0.147,32792
91,2017-12-14 01:00:00+00:00,0.146,32505
92,2017-12-15 01:00:00+00:00,0.153,38050
93,2017-12-16 01:00:00+00:00,0.151,40030
94,2017-12-17 01:00:00+00:00,0.132,35396
95,2017-12-18 01:00:00+00:00,0.13,31460
96,2017-12-19 01:00:00+00:00,0.128,30903
97,2017-12-20 01:00:00+00:00,0.126,33271
98,2017-12-21 01:00:00+00:00,0.119,35089
99,2017-12-22 01:00:00+00:00,0.118,44378
100,2017-12-23 01:00:00+00:00,0.119,44783
101,2017-12-24 01:00:00+00:00,0.117,42280
102,2017-12-25 01:00:00+00:00,0.138,55397
103,2017-12-26 01:00:00+00:00,0.162,50585
104,2017-12-27 01:00:00+00:00,0.166,50406
105,2017-12-28 01:00:00+00:00,0.169,48484
106,2017-12-29 01:00:00+00:00,0.17,49880
107,2017-12-30 01:00:00+00:00,0.164,46825
108,2017-12-31 01:00:00+00:00,0.161,41364
109,2018-01-01 01:00:00+00:00,0.158,44112
110,2018-01-02 01:00:00+00:00,0.149,46174
111,2018-01-03 01:00:00+00:00,0.132,41439
112,2018-01-04 01:00:00+00:00,0.127,41441
113,2018-01-05 01:00:00+00:00,0.132,43127
114,2018-01-06 01:00:00+00:00,0.132,45680
115,2018-01-07 01:00:00+00:00,0.13,40772
116,2018-01-08 01:00:00+00:00,0.132,39689
117,2018-01-09 01:00:00+00:00,0.128,34970
118,2018-01-10 01:00:00+00:00,0.126,37654
119,2018-01-11 01:00:00+00:00,0.121,38369
120,2018-01-12 01:00:00+00:00,0.12,43408
121,2018-01-13 01:00:00+00:00,0.119,51404
122,2018-01-14 01:00:00+00:00,0.117,47542
123,2018-01-15 01:00:00+00:00,0.114,43573
124,2018-01-16 01:00:00+00:00,0.11,42366
125,2018-01-17 01:00:00+00:00,0.115,40190
126,2018-01-18 01:00:00+00:00,0.115,40164
127,2018-01-19 01:00:00+00:00,0.133,74054
128,2018-01-20 01:00:00+00:00,0.126,52675
129,2018-01-21 01:00:00+00:00,0.111,47639
130,2018-01-22 01:00:00+00:00,0.097,38939
131,2018-01-23 01:00:00+00:00,0.091,41900
132,2018-01-24 01:00:00+00:00,0.096,41152
133,2018-01-25 01:00:00+00:00,0.102,42787
134,2018-01-26 01:00:00+00:00,0.106,44992
135,2018-01-27 01:00:00+00:00,0.094,45642
136,2018-01-28 01:00:00+00:00,0.076,44842
137,2018-01-29 01:00:00+00:00,0.073,36099
138,2018-01-30 01:00:00+00:00,0.077,37536
139,2018-01-31 01:00:00+00:00,0.087,43579
140,2018-02-01 01:00:00+00:00,0.088,43304
