,date,price,volume
60,2017-05-15 01:00:00+00:00,0.664,47194
61,2017-05-16 01:00:00+00:00,0.676,44033
62,2017-05-17 01:00:00+00:00,0.695,43264
63,2017-05-18 01:00:00+00:00,0.696,44292
64,2017-05-19 01:00:00+00:00,0.696,49692
65,2017-05-20 01:00:00+00:00,0.648,54045
66,2017-05-21 01:00:00+00:00,0.58,52182
67,2017-05-22 01:00:00+00:00,0.573,44502
68,2017-05-23 01:00:00+00:00,0.589,44434
69,2017-05-24 01:00:00+00:00,0.347,68237
70,2017-05-25 01:00:00+00:00,0.345,62618
71,2017-05-26 01:00:00+00:00,0.335,58955
72,2017-05-27 01:00:00+00:00,0.366,59064
73,2017-05-28 01:00:00+00:00,0.318,55255
74,2017-05-29 01:00:00+00:00,0.336,54889
75,2017-05-30 01:00:00+00:00,0.391,54067
76,2017-05-31 01:00:00+00:00,0.413,55089
77,2017-06-01 01:00:00+00:00,0.412,53383
78,2017-06-02 01:00:00+00:00,0.426,55191
79,2017-06-03 01:00:00+00:00,0.443,55168
80,2017-06-04 01:00:00+00:00,0.419,54611
81,2017-06-05 01:00:00+00:00,0.409,51622
82,2017-06-06 01:00:00+00:00,0.405,50897
83,2017-06-07 01:00:00+00:00,0.38,42623
84,2017-06-08 01:00:00+00:00,0.309,44669
85,2017-06-09 01:00:00+00:00,0.319,53437
86,2017-06-10 01:00:00+00:00,0.343,52803
87,2017-06-11 01:00:00+00:00,0.326,46567
88,2017-06-12 01:00:00+00:00,0.307,45885
89,2017-06-13 01:00:00+00:00,0.321,53480
90,2017-06-14 01:00:00+00:00,0.339,46475
91,2017-06-15 01:00:00+00:00,0.349,53428
92,2017-06-16 01:00:00+00:00,0.369,51237
93,2017-06-17 01:00:00+00:00,0.363,54002
94,2017-06-18 01:00:00+00:00,0.356,45351
95,2017-06-19 01:00:00+00:00,0.337,46616
96,2017-06-20 01:00:00+00:00,0.316,41890
97,2017-06-21 01:00:00+00:00,0.29,41128
98,2017-06-22 01:00:00+00:00,0.251,46945
99,2017-06-23 01:00:00+00:00,0.249,50483
100,2017-06-24 01:00:00+00:00,0.238,44424
101,2017-06-25 01:00:00+00:00,0.219,47423
102,2017-06-26 01:00:00+00:00,0.226,47242
103,2017-06-27 01:00:00+00:00,0.237,48938
104,2017-06-28 01:00:00+00:00,0.24,47412
105,2017-06-29 01:00:00+00:00,0.245,47378
106,2017-06-30 01:00:00+00:00,0.259,51892
107,2017-07-01 01:00:00+00:00,0.281,49578
108,2017-07-02 01:00:00+00:00,0.264,45547
109,2017-07-03 01:00:00+00:00,0.259,51758
110,2017-07-04 01:00:00+00:00,0.282,52182
111,2017-07-05 01:00:00+00:00,0.266,43698
112,2017-07-06 01:00:00+00:00,0.267,45017
113,2017-07-07 01:00:00+00:00,0.278,49657
114,2017-07-08 01:00:00+00:00,0.28,52274
115,2017-07-09 01:00:00+00:00,0.28,51599
116,2017-07-10 01:00:00+00:00,0.276,51415
117,2017-07-11 01:00:00+00:00,0.267,46588
118,2017-07-12 01:00:00+00:00,0.252,44741
119,2017-07-13 01:00:00+00:00,0.252,45523
120,2017-07-14 01:00:00+00:00,0.263,49002
121,2017-07-15 01:00:00+00:00,0.271,49237
122,2017-07-16 01:00:00+00:00,0.25,46594
123,2017-07-17 01:00:00+00:00,0.24,45864
124,2017-07-18 01:00:00+00:00,0.241,48026
125,2017-07-19 01:00:00+00:00,0.234,44147
126,2017-07-20 01:00:00+00:00,0.217,42424
127,2017-07-21 01:00:00+00:00,0.217,47489
