,date,price,volume
60,2014-02-17 01:00:00+00:00,0.369,27365
61,2014-02-18 01:00:00+00:00,0.378,24601
62,2014-02-19 01:00:00+00:00,0.401,23047
63,2014-02-20 01:00:00+00:00,0.387,23023
64,2014-02-21 01:00:00+00:00,0.303,24770
65,2014-02-22 01:00:00+00:00,0.231,27234
66,2014-02-23 01:00:00+00:00,0.207,27693
67,2014-02-24 01:00:00+00:00,0.211,28494
68,2014-02-25 01:00:00+00:00,0.256,33913
69,2014-02-26 01:00:00+00:00,0.33,27876
70,2014-02-27 01:00:00+00:00,0.343,27050
71,2014-02-28 01:00:00+00:00,0.355,30616
72,2014-03-01 01:00:00+00:00,0.343,28986
73,2014-03-02 01:00:00+00:00,0.321,29731
74,2014-03-03 01:00:00+00:00,0.312,27222
75,2014-03-04 01:00:00+00:00,0.316,26518
76,2014-03-05 01:00:00+00:00,0.312,22120
77,2014-03-06 01:00:00+00:00,0.319,25048
78,2014-03-07 01:00:00+00:00,0.314,28180
79,2014-03-08 01:00:00+00:00,0.293,26818
80,2014-03-09 01:00:00+00:00,0.258,24755
81,2014-03-10 01:00:00+00:00,0.246,23432
82,2014-03-11 01:00:00+00:00,0.246,22187
83,2014-03-12 01:00:00+00:00,0.248,21797
84,2014-03-13 01:00:00+00:00,0.259,18693
85,2014-03-14 01:00:00+00:00,0.281,25941
86,2014-03-15 01:00:00+00:00,0.25,33083
87,2014-03-16 01:00:00+00:00,0.211,31681
88,2014-03-17 01:00:00+00:00,0.208,30022
89,2014-03-18 01:00:00+00:00,0.23,27567
90,2014-03-19 01:00:00+00:00,0.245,28241
91,2014-03-20 01:00:00+00:00,0.247,26301
92,2014-03-21 01:00:00+00:00,0.248,30036
93,2014-03-22 01:00:00+00:00,0.248,33216
94,2014-03-23 01:00:00+00:00,0.231,27879
95,2014-03-24 01:00:00+00:00,0.225,30143
96,2014-03-25 01:00:00+00:00,0.242,27758
97,2014-03-26 01:00:00+00:00,0.251,29569
98,2014-03-27 01:00:00+00:00,0.257,30624
99,2014-03-28 01:00:00+00:00,0.27,34998
100,2014-03-29 01:00:00+00:00,0.262,33723
101,2014-03-30 01:00:00+00:00,0.255,35560
102,2014-03-31 01:00:00+00:00,0.268,36794
103,2014-04-01 01:00:00+00:00,0.332,35305
104,2014-04-02 01:00:00+00:00,0.341,31381
105,2014-04-03 01:00:00+00:00,0.322,29062
106,2014-04-04 01:00:00+00:00,0.305,35860
107,2014-04-05 01:00:00+00:00,0.296,34114
108,2014-04-06 01:00:00+00:00,0.268,31689
109,2014-04-07 01:00:00+00:00,0.261,28627
110,2014-04-08 01:00:00+00:00,0.261,28242
111,2014-04-09 01:00:00+00:00,0.261,29007
112,2014-04-10 01:00:00+00:00,0.261,29787
113,2014-04-11 01:00:00+00:00,0.274,34778
114,2014-04-12 01:00:00+00:00,0.268,33262
115,2014-04-13 01:00:00+00:00,0.257,32157
116,2014-04-14 01:00:00+00:00,0.259,34983
117,2014-04-15 01:00:00+00:00,0.265,35864
118,2014-04-16 01:00:00+00:00,0.27,36878
119,2014-04-17 01:00:00+00:00,0.281,37352
120,2014-04-18 01:00:00+00:00,0.285,36867
121,2014-04-19 01:00:00+00:00,0.286,38175
122,2014-04-20 01:00:00+00:00,0.281,36093
123,2014-04-21 01:00:00+00:00,0.278,34626
124,2014-04-22 01:00:00+00:00,0.277,34628
125,2014-04-23 01:00:00+00:00,0.281,34097
126,2014-04-24 01:00:00+00:00,0.286,36756
127,2014-04-25 01:00:00+00:00,0.305,41476
128,2014-04-26 01:00:00+00:00,0.317,43114
129,2014-04-27 01:00:00+00:00,0.315,40994
130,2014-04-28 01:00:00+00:00,0.321,38434
131,2014-04-29 01:00:00+00:00,0.333,37964
132,2014-04-30 01:00:00+00:00,0.403,50004
133,2014-05-01 01:00:00+00:00,0.447,38389
134,2014-05-02 01:00:00+00:00,0.368,39861
135,2014-05-03 01:00:00+00:00,0.297,39521
136,2014-05-04 01:00:00+00:00,0.258,40879
137,2014-05-05 01:00:00+00:00,0.246,35607
138,2014-05-06 01:00:00+00:00,0.235,34500
139,2014-05-07 01:00:00+00:00,0.224,34349
140,2014-05-08 01:00:00+00:00,0.215,35687
141,2014-05-09 01:00:00+00:00,0.207,41016
142,2014-05-10 01:00:00+00:00,0.194,40215
143,2014-05-11 01:00:00+00:00,0.167,38024
144,2014-05-12 01:00:00+00:00,0.151,31106
145,2014-05-13 01:00:00+00:00,0.144,29959
146,2014-05-14 01:00:00+00:00,0.143,29913
147,2014-05-15 01:00:00+00:00,0.141,31467
148,2014-05-16 01:00:00+00:00,0.142,33522
149,2014-05-17 01:00:00+00:00,0.133,32810
150,2014-05-18 01:00:00+00:00,0.121,32981
151,2014-05-19 01:00:00+00:00,0.118,30312
152,2014-05-20 01:00:00+00:00,0.12,29115
153,2014-05-21 01:00:00+00:00,0.118,34168
